18.3	   15.61    16.43       6.12     9.31      -5.13     6.36     885.39    34.72     488.97     7.97     630.00     2190
18.9	    1.12    31.56     -15.55    13.79       7.01     8.35     727.37    48.91     244.81     5.97     630.00     1938
19.4	   78.98    39.74      62.95    15.49     -45.59     5.96     628.37    51.86     182.19     5.00     630.00     1938
20.0	   -4.61    64.76      10.40     4.30      70.03    26.56     519.58    64.51     164.52     6.01     630.00     1939
20.5	   72.88    47.41     126.91    56.14     -53.17     6.81     571.69    86.46     150.88     7.28     630.00     1938
21.0	   -0.10    27.34      -7.32    12.77      10.76     9.00     745.08    42.16     381.07     8.33     630.00     1939
21.6	    6.71    22.17      48.56     8.70      -0.40     6.80     769.52    18.72     847.77     7.69     630.00     1939
22.1	   19.98    79.72      77.49    67.74      10.43    21.74     740.53    20.00     820.81     8.20     630.00     1940
22.7	   10.53    37.20       6.95     1.42       9.66     2.90     690.08    33.13     508.08     8.79     630.00     1939
23.2	   37.90    29.70      58.91    14.67     -24.61     3.77     654.31    44.59     400.61     9.37     630.00     1939
23.7	  -51.31    32.55     -47.51    10.71      67.55     3.28     619.48    43.83     346.86     8.28     630.00     1939
24.3	    7.08    35.56       1.08    18.77     -26.22     4.53     565.36    48.84     259.88     7.11     630.00     1939
24.8	  -16.70    31.57      -6.40    32.65     -25.19     8.68     512.27    55.57     210.97     6.65     630.00     1939
25.4	   90.06    39.69     297.59    27.46      23.48     5.45     453.06    55.87     185.67     6.35     630.00     1939
25.9	  -35.74    43.03      77.79    38.57      70.25     8.88     574.65    52.41     204.58     5.99     630.00     1938
26.4	  -96.02    91.72    -142.67    20.39      66.37     3.49     508.60    67.85     141.32     5.77     630.00     1939
27.0	   60.07    52.59      99.82    28.92       2.14    33.90     497.62    76.46     113.97     4.72     630.00     1938
27.5	   30.01    64.81      50.04     8.03      25.06    33.84     499.79    59.63     134.93     4.72     630.00     1938
28.0	   66.79    68.55     137.71     9.42      37.47    27.87     566.19    52.06     157.73     4.65     630.00     1938
28.6	    6.80    48.49       8.54    16.66       1.66    13.79     634.69    56.25     163.48     4.92     630.00     1938
29.1	   24.84    15.23      24.99    42.27     -21.53    17.84     681.78    43.63     224.71     5.17     630.00     1938
29.7	 -117.32    90.60    2792.18   2163.79      83.92     6.85     686.53    67.10     455.40    15.85     630.00      429
