18.2	    4.83     5.30      56.39     3.24    -107.52     2.24     977.36     5.86    1096.80     3.19     630.00     2191
18.9	  -19.44    28.62      47.08    11.11     -54.51     0.33     820.53    23.36     316.59     3.95     630.00     1938
19.4	  -21.82    42.30      76.73     9.06     -42.36    16.35     704.71    34.32     173.68     3.48     630.00     1937
19.9	   16.07    23.70     168.55    11.10    -126.86     7.88     521.14    12.95     101.49     0.83     630.00     1938
20.5	  -11.11    17.11     142.70     6.06     -63.49     0.03     644.22     9.44     176.97     0.92     630.00     1938
21.0	   -8.53    22.62     130.22     2.44     -57.62    12.99     683.72    18.65     242.45     2.43     630.00     1938
21.5	  -62.70    28.80      48.36     4.10     -10.24     8.50     663.95    26.97     253.50     3.77     630.00     1939
22.1	  -23.10    23.84     109.27     1.38     -26.16     7.96     702.90    24.14     298.58     3.78     630.00     1938
22.6	  -30.09     5.38      85.72     1.07     -10.14     0.26     739.16     8.40     329.01     1.34     630.00     1937
23.2	    2.15     7.01     157.49     1.45     -23.78     1.61     806.23     7.28     656.59     2.55     630.00     1938
23.7	  -13.74     6.67     117.65     3.88     -14.65     1.06        nan      nan        nan      nan     630.00     1938
24.2	   -7.81     4.47     107.18     1.49     -27.54     2.57        nan      nan        nan      nan     630.00     1938
24.8	   29.67     3.40     129.80     0.47     -41.12     0.92        nan      nan        nan      nan     630.00     1937
25.3	    8.39     3.97      87.15     1.69     -15.57     0.96        nan      nan        nan      nan     630.00     1938
25.8	   11.93     6.14     155.14     1.35     -12.89     1.41     568.01     5.04        nan      nan     630.00     1938
26.4	   -3.96    11.58      46.11    10.55      -5.61     3.48     679.08    16.77     314.13     2.78     630.00     1938
26.9	    6.65    33.09     132.65    14.92     -47.45     3.77     420.83    33.30      78.54     1.74     630.00     1938
27.5	 -273.84    38.56    -145.46   123.31      46.35    22.14     316.09    99.67      35.97     1.96     630.00     1938
28.0	  222.94   240.05     344.62    56.09    -183.10    80.41     334.19   165.87      31.32     2.85     630.00     1938
28.5	 -218.74   422.32    -265.61   332.01    -116.27    46.05     264.11    93.12      20.08     1.02     630.00     1938
29.1	  -22.70    13.81     -16.77    26.18     -15.38    40.70     819.62    18.77     181.82     1.97     630.00     1938
29.6	  281.48   564.55    2198.33   1505.96    -208.13   815.15     769.46    27.65     964.28    13.18     630.00      620
