18.2	   -8.12     0.20      57.28     2.50     -58.37     0.29     908.47     3.33    1292.38     1.71     630.00     2191
18.8	   70.45     2.97     128.69    12.13     -32.85     3.86     903.72     6.44        nan      nan     630.00     1936
19.4	  -13.47    13.17       7.93     9.21       1.85     1.60     925.75    25.18     366.10     4.12     630.00     1936
19.9	   14.39    14.84     142.15     0.94     -62.64     0.05     942.85    23.15     546.90     5.71     630.00     1937
20.4	  -37.95     8.30      11.42     4.78       3.09     3.04     929.81    11.32     972.19     4.85     630.00     1937
21.0	   -4.51     4.28      17.28     4.20      13.49     2.62     967.86     9.84    1246.97     5.24     630.00     1936
21.5	    9.63     6.88     -10.24     4.05     -15.18     4.23     856.22    11.08     978.74     4.95     630.00     1937
22.1	   10.87     2.24      36.83     8.98     -23.49     2.34     831.95    12.27     862.59     4.95     630.00     1936
22.6	  -36.68    10.07     -30.28     4.09       7.67     0.57     876.44    16.88     696.23     5.39     630.00     1937
23.1	  -27.25     9.25     -30.77     6.45      14.22     3.65     875.66    17.98     611.98     5.10     630.00     1937
23.7	  -46.57    11.62      16.60     2.92     -20.01     3.47     859.29    15.06     734.04     5.23     630.00     1937
24.2	   -3.53     5.46     100.31     4.96     -45.60     0.09     821.22    11.96     878.39     4.95     630.00     1937
24.8	   15.18    10.52     120.87     1.90     -39.05     5.46     825.98     9.37     739.24     3.00     630.00     1937
25.3	  -13.12    14.26      66.29     0.75      -3.82     0.89     861.59    19.10     633.36     5.66     630.00     1937
25.8	  -16.58    17.15      -6.47     7.86      22.84     2.30     880.53    27.88     424.74     5.49     630.00     1937
26.4	    5.94    14.71      28.40    11.65      -2.25     2.43     804.10    23.71     402.04     4.54     630.00     1938
26.9	   -7.88    17.83      22.64     2.49      31.17    10.19     660.03    11.57     237.56     1.42     630.00     1936
27.4	   20.74    20.90      96.28     2.94       1.07     0.28     661.98    11.86     186.40     1.18     630.00     1937
28.0	   90.81     2.99      94.31     7.19    -181.40     2.93     488.65     8.75        nan      nan     630.00     1937
28.5	   44.08    60.26      73.59    33.83     -33.29    12.59     642.98    30.99      81.59     1.41     630.00     1937
29.1	  -15.07    12.80      20.13    23.61      -8.00     9.45     674.98    18.41     168.23     2.05     630.00     1937
29.6	 2174.32     8.66   -1673.16    80.64    2316.99    26.10     642.59     9.87     492.20     2.47     630.00      619
