18.2	  -20.29    10.91     -19.53     5.76      -1.06     2.97    1018.20    25.04     770.90     9.09     630.00     2191
18.8	    3.33    39.36      -6.55    15.87       2.15     8.68     920.26    64.89     256.43     7.68     630.00     1938
19.4	  -10.36    53.00     -18.41     8.72      25.25    17.42     805.56    85.05     171.64     7.02     630.00     1938
19.9	   -1.99    39.64       1.83    21.37     -36.63     1.95     897.22    85.19     176.81     6.98     630.00     1938
20.4	   24.40    31.62       6.15    17.48     -31.58    13.42     885.56    67.04     225.46     7.09     630.00     1939
21.0	  -44.32    29.30     -53.18     7.16      19.94    10.46     999.39    55.92     321.54     7.95     630.00     1938
21.5	   21.60    20.36      33.11     4.79       1.05     5.49     972.00    36.88     455.58     7.50     630.00     1939
22.1	    8.15    13.44       5.85     9.40       3.68     2.90    1003.12    31.16     532.26     7.27     630.00     1938
22.6	    1.16    14.10     -14.72     3.78      -2.03     4.29     961.66    24.00     615.44     6.54     630.00     1939
23.1	   23.12    16.69      26.14     1.57      -6.46     7.31     924.94    24.91     522.06     5.91     630.00     1939
23.7	   10.02     8.95      -1.66    18.29     -16.47     1.74     886.02    25.93     426.27     5.08     630.00     1939
24.2	    4.39    17.66       5.88     0.48      -4.82     3.37     919.39    25.72     423.44     4.92     630.00     1939
24.7	    5.53    15.36       4.94     6.11       6.86     4.52     908.95    29.91     325.32     4.42     630.00     1938
25.3	  -16.37    12.43     -29.05    11.34     -22.59     2.69     876.57    29.27     361.14     4.90     630.00     1939
