18.3	  -50.39    11.28     -17.19     5.70     -31.33     2.79     826.41    12.64     777.34     4.74     630.00     2191
18.9	  -14.10    64.10      87.36    39.21     -17.27     6.59     680.70    34.28     238.06     4.40     630.00     1938
19.4	  -16.72   228.38      89.84   213.12     -19.73    54.02     673.83    40.45     225.80     5.01     630.00     1938
20.0	  259.49   256.29     378.46   264.25      21.31    60.57        nan      nan     495.41     3.79     630.00     1938
20.5	  343.25   121.30     473.46   126.19      69.44    30.41     659.67     3.85     859.10     1.48     630.00     1938
21.0	  -27.83    32.22      40.23    28.52      -4.66     7.03     792.04     5.02    1046.13     2.35     630.00     1938
21.6	   -8.70    21.08      55.59    10.46     -18.62     2.66     736.45     9.05     831.06     3.50     630.00     1938
22.1	   -1.33    17.99      97.71     1.45     -45.60     3.01     753.72    16.56     675.02     5.48     630.00     1938
22.6	   69.95    14.42     200.42     9.25     -57.66     1.33     721.37    18.12     648.46     5.93     630.00     1938
23.2	    5.46    86.21      79.90   234.41     -77.30     9.42     682.24    24.59     458.90     6.00     630.00     1939
23.7	    2.75   434.87      80.30   987.30     -46.29    28.64     639.12    26.07     331.77     4.70     630.00     1938
24.3	  -32.80    16.47      21.18    37.67      21.84     0.22     599.94    35.68     181.63     3.61     630.00     1938
24.8	  -18.74     2.10     -14.07    22.41      -2.54    11.33     632.61    22.14     241.09     2.79     630.00     1938
25.3	   -6.94    22.62     102.94     4.41      52.48    21.44     495.64     7.46     247.16     1.02     630.00     1938
25.9	   29.28    21.60      95.72    69.92      66.61     9.37     635.87    13.78        nan      nan     630.00     1938
26.4	   -3.22    39.43      42.14    20.81      15.50     3.68     756.36    23.56     144.43     1.88     630.00     1938
27.0	   35.95    76.19     144.02    53.89      17.41    39.30     671.92    21.74     157.86     2.04     630.00     1938
27.5	  -39.03    51.04      -1.13    36.24       9.72    53.87     688.47    13.55        nan      nan     630.00     1938
28.0	   17.86    16.47      62.60     4.29     -79.95    25.69     709.69    12.48     291.30     1.91     630.00     1938
28.6	   44.94    45.48      89.52    33.44    -108.46     2.58     580.24    19.54     199.61     2.26     630.00     1938
29.1	  -46.69     5.58      -3.46    40.56     -10.54     1.30     525.56    22.78     101.22     1.25     630.00     1938
29.6	 2419.28   1110.62   -1550.77   670.02    2509.79   1091.17     626.15    31.85     646.02    13.47     630.00      621
