18.2	   12.33     9.23      12.61     2.55     -45.81     4.45     963.38    14.50    1319.59     8.83     630.00     2188
18.8	   15.01    31.18      15.84     1.92     -87.99     0.79     884.25    36.08     391.20     7.00     630.00     1938
19.4	   63.83    49.04     126.04    13.70    -114.07     7.26     806.14    47.38     269.86     6.45     630.00     1938
19.9	   58.17    37.20     126.44     5.03    -110.57    14.50     748.51    46.02     263.87     6.50     630.00     1938
20.4	   13.66    28.52      67.95     4.98     -73.17    16.53     807.26    27.31     481.43     6.98     630.00     1938
21.0	   30.51    18.65      97.75     3.48     -69.06    10.63     835.65    18.54     791.63     7.38     630.00     1938
21.5	   18.60    12.50      74.44     5.16     -18.44     0.47     836.52    12.78    1273.27     7.93     630.00     1939
22.0	   27.78    16.00      49.02     7.32     -21.39     6.85     815.77    14.52    1221.24     8.67     630.00     1939
22.6	   32.95    18.19       8.77     0.51     -11.34     4.77     754.86    22.54     725.28     8.30     630.00     1939
23.1	    3.30    21.86     -19.14     2.86      12.21     3.94     739.51    31.64     520.57     8.51     630.00     1938
23.7	   -1.82    29.25      -3.75    17.86       4.14     5.43     699.44    49.59     314.79     8.24     630.00     1939
24.2	   10.27    38.02     -14.19    19.62     -21.17    12.21     652.02    58.90     233.74     7.49     630.00     1938
24.7	   29.81    46.48      38.16    34.40      -9.19     9.11     628.33    78.49     178.69     7.74     630.00     1938
25.3	   -5.02    57.99     -17.25    18.18     -34.39     8.41     604.85    83.58     158.01     7.42     630.00     1939
25.8	  -12.77    43.31      -2.98    65.67     -71.80     2.88     656.02    98.57     129.06     6.66     630.00     1938
