18.2	   57.52     7.96     -12.10     7.44     -22.40     1.35     950.58    21.05     791.32     8.01     630.00     2190
18.8	   59.37    24.66     -29.61     7.87     -19.20     1.12     874.74    41.60     321.79     6.41     630.00     1937
19.3	   88.68    29.00      -1.42    12.41      -3.38     6.58     723.52    41.90     236.75     5.12     630.00     1936
19.9	   74.52    26.56     110.35     4.84     -58.07     8.74     749.44    32.62     304.46     5.24     630.00     1936
20.4	   -8.95    64.96       2.16    78.22     -21.00    31.79     795.65    20.51     551.17     5.79     630.00     1936
21.0	   63.43    43.30      93.24    55.24     -21.95    30.36     797.33    12.99     908.53     5.86     630.00     1937
21.5	   61.07    11.41      93.12     7.10     -18.76     4.01     782.53     9.47    1308.38     6.06     630.00     1938
22.0	   64.85     8.06     103.22     0.33     -42.24     1.37     803.98    11.01    1345.63     7.19     630.00     1938
22.6	   26.05    15.23     -34.16    12.77     -11.72     2.77     720.85    26.09     664.56     9.10     630.00     1938
23.1	   71.14    18.56      34.07    12.06       7.95     2.19     691.11    31.59     501.99     8.41     630.00     1938
23.6	   38.68    31.08     -35.16     5.40      -3.58    10.76     616.12    38.17     365.39     7.82     630.00     1938
24.2	  -46.68    41.04    -120.37    10.77      59.22    10.16     551.74    50.12     245.65     7.42     630.00     1939
24.7	  100.00    55.75      54.14    25.70     -82.26    14.73     489.29    72.82     150.56     6.75     630.00     1938
25.3	  -59.62    45.50     -97.00    68.58      55.92     0.41     380.03   100.95     101.55     6.13     630.00     1938
25.8	  -42.80    85.01    -116.10    27.25     -64.15    29.18     393.86   113.45      83.66     5.41     630.00     1938
26.3	   89.38   159.29     160.06    81.19    -209.65    32.36     379.95   140.52      60.77     4.82     630.00     1937
26.9	  -80.91    58.40     -16.69   104.00      13.60    49.21     341.60   167.91      52.66     4.13     630.00     1938
27.4	  189.53   159.43     154.60    46.28    -113.43    45.47     295.46   156.42      45.92     3.94     630.00     1936
27.9	  106.07   366.09     228.61   269.89     -14.58   207.31     337.34   237.98      28.33     3.43     630.00     1937
28.5	 -183.47   220.34    -265.13    44.16      42.59   217.32     425.88   243.75      28.59     3.34     630.00     1936
29.0	   43.08    63.68      20.36     8.45      53.88     9.81     634.86    67.50      92.75     3.99     630.00     1936
29.6	  254.76    91.95    -249.74   215.42    -581.94   236.58     746.30    67.46     299.22    10.30     630.00      429
