18.2	   13.94     1.41     -14.54    15.13       8.86     3.96     753.51     7.69     448.47     1.76     630.00     2189
18.8	   16.82     5.47      -2.55    30.28      12.82     6.88     774.09    23.21     260.15     3.08     630.00     1943
19.3	  -65.36    39.33     -52.99     7.79      20.19    19.96     614.96    27.12     188.97     2.90     630.00     1941
19.9	   72.98     2.89     136.11    28.89     -88.16     8.94     532.07    14.89     110.53     1.39     630.00     1944
20.4	  -23.11    20.80      30.99    17.69     -25.32    45.39     633.93    17.28     220.73     2.19     630.00     1944
21.0	  -61.82    31.79      35.82     3.85      52.53    38.04     679.56    15.09     189.65     1.51     630.00     1944
21.5	  -36.85    36.50      51.64    16.36      34.86     9.28     671.50    15.37     313.66     2.41     630.00     1944
22.0	   15.64    15.52     126.58     0.10     -25.13     0.47     801.68    17.43     548.27     4.58     630.00     1943
22.6	    9.35     8.67      99.33     0.18     -16.47     1.59     817.57     9.43    1112.92     4.88     630.00     1945
23.1	   -1.03     8.42      81.61     5.51      11.04     5.39     789.02     5.88    1503.87     3.94     630.00     1945
23.7	   29.31    17.14     115.19    17.39      -5.97     9.23     816.40     7.62    1491.68     4.89     630.00     1945
24.2	   63.02     8.78     168.74     0.15     -11.12     1.37     750.02     9.13    1001.79     4.29     630.00     1944
24.7	   24.85    19.47      98.03     7.51      33.43     4.87     771.81    18.20     699.03     6.27     630.00     1945
25.3	  -33.21    16.70      32.78     5.09      16.38     1.83     748.18    24.11     509.09     6.17     630.00     1944
25.8	  -20.60    28.66      26.59     7.14       3.23     3.54     687.22    40.19     340.13     7.14     630.00     1944
26.4	  -87.15    39.73    -100.22     9.16      25.26     4.04     640.17    52.01     254.66     7.27     630.00     1943
26.9	  -20.40    50.73     -20.28    43.46      41.97     4.60     464.59    72.85     122.94     5.45     630.00     1945
27.4	  -68.59    91.17    -118.15    43.41     117.34    73.32        nan      nan      54.29     4.32     630.00     1942
28.0	  180.05   401.59     136.98   210.41     -93.00   253.77     505.33   357.01      28.08     3.67     630.00     1944
28.5	  160.09   284.95     121.37   612.18    -237.31   288.84        nan      nan      20.12     3.20     630.00     1944
29.1	   12.66   120.67     182.25    55.16      48.50    42.28     634.89    69.61      96.82     4.64     630.00     1944
29.6	  -10.56    53.89     -83.38    11.56      -0.27    20.75     696.80    60.67     555.90    17.68     630.00      432
