18.3	 -194.18     1.43     143.30     3.62     -21.18    10.21     867.95     4.25    1129.70     2.10     630.00     2189
18.9	 -162.54    11.29     185.95     3.52    -113.07    11.09        nan      nan     415.91     1.57     630.00     1938
19.4	 -169.22    86.96     180.71    42.79      -9.74    72.24     759.95    25.71     285.45     3.81     630.00     1939
20.0	 -244.29    91.27      95.52    16.60    -221.11    47.40     625.37    36.54     118.32     2.20     630.00     1938
20.5	    1.67   165.67     370.87   106.19    -126.82   118.69     626.76    28.35     128.34     2.15     630.00     1939
21.0	 -167.47   257.20      69.77   209.26     176.79   134.79     585.06    23.64     132.30     2.07     630.00     1939
21.6	   40.42   250.18     435.86   199.55     197.90    68.07     706.42    22.57     253.70     3.23     630.00     1939
22.1	  440.32    57.44    1321.26    21.40     141.35    27.91     723.88    21.26     521.11     5.56     630.00     1939
22.7	 -157.98    93.53     187.36    63.93      86.98    26.62     714.61    19.51     712.20     7.04     630.00     1939
23.2	  769.60    92.60     157.26    70.17   -2161.96    39.39     695.36    19.79     656.25     6.61     630.00     1939
