18.2	   -1.61     2.02       4.81     8.72     -18.14     2.28     963.94     8.39        nan      nan     630.00     2182
18.8	  -16.80    17.45     -34.08     4.55      18.80     2.61     795.40    26.66     194.24     2.63     630.00     1947
19.4	  -80.93    23.98     -92.42     6.47      76.48     0.50     585.44    36.33     101.16     2.11     630.00     1946
19.9	  -19.85     2.88     -15.28    25.91      26.58    14.62     480.81    19.62      42.70     0.55     630.00     1945
20.4	   23.04    18.83     -48.04     1.86     -28.92     0.80     389.86    12.02      56.34     0.39     630.00     1944
21.0	   -2.22    23.62       9.28     1.10      38.29     7.39     781.97    30.61     171.56     2.51     630.00     1947
21.5	  -19.98    13.77     -37.68    19.90      26.14     0.50     487.20    13.82     164.96     1.34     630.00     1944
22.1	   32.01    15.33      27.22     8.12      -1.48     4.13     824.46    24.77     320.73     3.78     630.00     1943
22.6	   -1.45    13.59       7.55     3.08     -19.42    11.90     685.93    12.41     333.23     1.99     630.00     1948
23.1	   -1.43     4.58      -6.28     9.09      -6.57     0.64     826.89    15.80     636.02     4.74     630.00     1943
23.7	   -3.06     4.65     -12.35     7.00      -1.86     0.90     808.68    13.47     778.21     4.98     630.00     1944
24.2	   -9.54     7.55     -14.70     7.07      -5.60     3.71     828.03    15.17     735.27     5.25     630.00     1942
24.8	   -9.02    15.20     -10.35     1.86      -1.43     3.06     796.89    17.81     611.87     5.21     630.00     1943
25.3	  -10.07    11.58      -6.77    14.57      -9.17     5.02     765.07    23.63     487.24     5.72     630.00     1943
25.8	   -0.47    21.44      -4.21    11.70      10.23    15.11     713.09    33.72     324.79     5.63     630.00     1943
