18.2	  -16.94     9.17      65.56     2.63     -58.11     2.44    1025.80    14.37    1331.09     8.44     630.00     2193
18.8	  -41.33    43.36      99.37     7.32     -71.30     0.07     850.19    43.73     289.80     6.27     630.00     1939
19.4	   -8.66    51.60     131.08     1.18     -73.56     3.16     530.63    46.84      97.79     2.84     630.00     1938
19.9	   40.53    53.47      99.29    56.38     -79.98    38.77     441.51    70.20      60.53     2.67     630.00     1938
20.4	 -133.33    48.30    -158.71    83.45     169.29     2.21     485.91   110.41      67.99     4.50     630.00     1939
21.0	  -67.17    29.70     -66.37    13.41       8.73     3.21     830.50    53.86     247.45     6.72     630.00     1938
21.5	    8.67     7.53      36.11     5.83      -9.66     0.38     937.42    16.99     836.33     6.47     630.00     1939
22.1	    3.33     7.19     103.15     0.25       4.84     0.74     924.29    10.02    1443.97     6.42     630.00     1939
22.6	    1.78     3.27      91.69     5.02     -15.36     0.13     949.11     9.25    1665.03     6.77     630.00     1938
23.1	  -21.08     6.46      61.58     1.44      -0.07     1.58     941.92     9.25    1647.40     6.72     630.00     1939
23.7	   -5.99     8.05      51.03     1.25     -14.74     4.35     946.26    11.32    1232.03     6.26     630.00     1938
24.2	   -5.69     9.69      -4.70    10.20       6.06     1.64     934.48    24.54     640.91     7.08     630.00     1939
24.8	   11.32    16.89       6.93     0.24       1.07     1.52     885.40    23.54     596.23     6.44     630.00     1938
25.3	    3.09    15.45       5.38     3.87     -10.33     3.77     867.75    24.93     559.37     6.49     630.00     1939
25.8	   -9.55    12.83      -9.90    11.04       8.50     2.40     874.04    28.55     507.51     6.73     630.00     1939
26.4	    8.20    14.93      -7.64    11.02       3.01     0.28     875.36    29.51     500.72     6.86     630.00     1939
26.9	    6.92    17.39      16.15     5.79     -10.48     1.49     813.70    27.89     468.08     6.25     630.00     1938
27.4	   -7.51    30.73      39.26     6.89      -7.69     1.16     780.33    41.63     298.86     6.15     630.00     1938
28.0	  -73.91    33.52     -41.11    21.21      23.58    13.73     730.76    58.79     213.81     6.40     630.00     1938
28.5	  -47.24    40.35       6.16    18.57      27.66     5.55     764.82    62.23     209.43     6.45     630.00     1938
29.1	  -55.30    25.08     -12.71    10.10      23.53    13.86     858.96    34.42     353.58     5.99     630.00     1939
29.6	    7.62     3.72     280.23   176.37      66.98    41.56     921.12    30.03    1280.41    17.99     630.00      429
