18.2	  -22.04     5.80      36.45     0.82     -80.48     1.24     897.61    11.59    1235.78     6.55     630.00     2187
18.8	  -32.66    18.06      37.63     3.98     -73.08     4.35     793.53    21.70     495.24     5.46     630.00     1937
19.4	  -11.39    26.93      96.90     1.30     -70.19    13.90     704.01    27.10     273.84     4.27     630.00     1936
19.9	  -23.86    20.05      91.10    10.65       1.81     1.85     593.03    10.32     149.26     0.91     630.00     1936
20.5	  -12.27     2.07      96.41     4.18     -31.28     1.23     491.63     4.28     241.34     0.59     630.00     1937
21.0	   -4.53     4.01      70.90     2.12       3.44     0.26     754.54     5.58     734.82     1.87     630.00     1936
21.5	   -3.93     4.16      73.61     3.30     -13.94     0.44     816.18     6.98    1065.05     3.40     630.00     1937
22.1	   10.49     6.33      84.24     1.34      -1.64     0.33     808.63     8.25    1315.58     5.07     630.00     1937
22.6	   -5.38    11.15      64.49     1.35      -3.46     0.63     820.35    12.13    1088.00     6.26     630.00     1937
23.1	   -7.11    11.97      68.04     2.34     -21.20     1.50     805.09    13.56     962.72     6.22     630.00     1937
23.7	    5.00    11.02      80.83     2.05     -17.64     1.01     774.12    14.29     863.20     5.97     630.00     1937
24.2	  -14.46    13.65      60.37     1.28     -33.32     0.43     747.79    16.48     725.94     5.91     630.00     1937
24.8	  -35.99    24.41      20.92     7.69     -27.19     0.99     749.55    21.10     553.00     5.79     630.00     1937
25.3	   -7.86    14.19      75.85     8.51       2.97     1.35     735.35    23.38     479.67     5.60     630.00     1937
25.8	   -2.70    22.90      70.27     3.61     -16.87     0.10     739.53    24.98     417.75     5.23     630.00     1937
26.4	  -23.93    16.65      39.35     9.15     -17.61     9.56     734.52    26.97     379.80     5.16     630.00     1937
26.9	    8.53    24.60      74.69     0.23      -5.34    13.06     755.97    28.37     368.02     5.18     630.00     1936
27.4	    8.40    17.75      69.69    12.27       2.33     0.55     733.38    32.97     311.13     5.16     630.00     1937
28.0	   14.05    21.01      80.00    19.24      34.10     0.05     729.31    37.73     270.28     5.14     630.00     1936
28.5	   12.02    35.70      73.19     4.50     -14.88     7.37     705.24    40.62     215.26     4.52     630.00     1937
29.1	  -34.03    30.69      -7.25    12.38      29.89     6.71     799.14    44.58     279.62     6.11     630.00     1936
29.6	 1628.65   260.15   -1155.57   211.35    1736.82   332.19     758.10    21.98    1091.25    14.12     630.00      620
