18.2	   -9.89     9.44      72.49     3.87     -76.04     4.71    1043.41    14.83    1336.64     8.61     630.00     2188
18.8	    1.28    23.38     106.44     3.05    -123.77     1.58     935.00    27.41     514.58     6.49     630.00     1923
19.4	  -14.01    22.35     112.45     8.07     -86.13     9.69     878.57    34.02     371.13     6.20     630.00     1923
19.9	  -43.58    25.89      83.43     1.93     -64.07    12.84     908.54    32.48     423.02     6.66     630.00     1922
20.4	   -7.12    17.52     120.00     0.68     -63.95     4.97     947.56    23.62     616.07     6.80     630.00     1923
21.0	   -5.14     8.31     116.48     4.75     -37.31     2.94     897.42    15.12     919.52     6.43     630.00     1922
21.5	   -1.56     8.20     109.97     1.63     -30.80     1.21     944.73    10.07    1509.76     6.72     630.00     1923
22.0	    3.15     6.07     113.67     0.52     -34.42     0.46     919.13     8.93    1735.61     6.88     630.00     1922
22.6	    6.20     6.67     122.28     1.37     -53.46     0.13     904.27     9.91    1513.06     6.71     630.00     1923
23.1	   12.43     6.62     118.00     1.61     -34.24     1.18     898.22    10.07    1494.55     6.76     630.00     1922
23.6	  -26.95     9.67      41.69     0.08     -31.53     0.62     863.80    12.61    1161.26     6.73     630.00     1923
24.2	    3.72    11.37      80.23     2.03     -17.83     0.91     889.94    14.51     980.29     6.48     630.00     1923
24.7	  -18.16    15.54      60.14     2.87       1.02     5.72     903.12    18.66     771.37     6.62     630.00     1922
25.2	  -12.41    16.47      54.51     4.35       2.91     5.91     894.62    25.60     569.96     6.71     630.00     1922
25.8	  -15.07    20.27      44.97     8.43      18.26     0.46     839.61    33.74     415.57     6.63     630.00     1923
26.3	  -11.00    20.62       1.25    16.78     -16.01     3.24     807.08    35.02     345.29     5.97     630.00     1922
26.9	  -28.68    26.44      -6.45    28.85     -11.43     2.47     700.70    56.84     172.05     5.07     630.00     1923
27.4	  -41.43    53.80       0.71     5.54     -34.46     9.92     627.56    67.41     137.84     5.06     630.00     1923
27.9	  101.44    42.59     161.82    52.71      -2.49    21.10     396.53    86.71      53.17     2.75     630.00     1922
28.5	  -82.55   247.69    -213.26   191.63    -253.74   205.32     336.29   159.76      26.46     1.91     630.00     1922
29.0	 -100.21    30.03       8.67    24.66     -18.69     3.22     667.16    36.71     101.48     2.54     630.00     1923
29.5	  -10.25    10.05   478695024460.00   799498052043.33   1764978979383.38   2947800131086.44     811.12    18.12     758.86     6.75     630.00      801
