18.3	   -7.09    16.34      19.73     8.31     -59.15     0.61     915.50    15.47    1058.05     7.54     630.00     2189
18.9	  -36.14    40.21      36.23     8.18     -76.97    11.07     778.54    32.06     349.07     5.89     630.00     1938
19.4	  -66.72    47.07      53.89     9.18    -113.54    27.03     659.93    35.34     207.35     4.16     630.00     1938
19.9	  -16.28    12.89     101.64    11.77     -96.58    12.54     668.85    16.86     253.36     2.21     630.00     1938
20.5	  -47.07     5.48      55.25    15.67     -38.77     9.58     613.25     6.97     363.26     1.21     630.00     1938
21.0	    5.01     2.32      97.78    17.43     -35.18     4.96     749.87    12.03     689.60     4.05     630.00     1938
21.6	    5.47     5.44      95.14     9.31     -10.61     2.56     825.86    11.89    1134.59     6.28     630.00     1938
22.1	   -5.08     9.47      76.84     4.44      -4.30     1.05     741.70    13.13    1056.46     6.79     630.00     1938
22.6	    0.72     8.60     103.57     2.10     -31.84     0.92     783.25    12.16     956.72     5.52     630.00     1938
23.2	  -19.09     6.01      76.52     2.10      -2.34     1.54     761.57     8.98     885.68     3.75     630.00     1938
23.7	   -3.59     7.67     116.84     2.33     -13.60     0.83     773.94    11.01     747.06     3.86     630.00     1938
24.2	    5.78    10.70     100.50     0.04     -18.08     1.62     703.61    12.22     725.57     4.41     630.00     1938
24.8	   13.46    17.38     100.39     1.11     -42.70     0.06     769.27    18.57     630.29     5.72     630.00     1938
25.3	  -11.62    20.13      72.38     4.40       3.26     2.02     719.28    25.54     516.50     6.59     630.00     1938
25.9	   10.16    16.35      93.25     0.49      10.18     2.26     741.50    17.17     786.45     6.81     630.00     1938
26.4	   23.71     8.27      64.72     0.52       8.79     1.28     795.20    11.82    1103.34     6.14     630.00     1938
26.9	    4.33    15.06       9.02     0.67      14.52     2.17     682.28    16.67     513.27     4.47     630.00     1940
27.5	  -12.29    47.64      42.73     2.87      32.75     0.99     577.20    47.13     145.97     3.89     630.00     1937
28.0	  -23.52    88.42       3.49    36.25     -17.12    30.96     463.57   101.02      58.73     3.49     630.00     1938
28.6	  341.75   511.70     705.12   379.11       7.79   115.47     343.23   216.05      28.10     3.14     630.00     1938
29.1	 -105.96    91.02     -52.71    20.05      63.21    36.25     751.31    75.39     110.57     5.15     630.00     1938
29.6	  561.56   434.38    -336.85   376.07     646.40   388.66     789.12    23.17    1341.14    17.43     630.00      621
