times,winds,temps,intensity,angle1,angle2
18.5143,238.65,931.66,1227.16,102.5,-0.0
19.053,229.52,704.23,329.08,102.5,-0.0
19.5913,140.72,597.85,216.78,102.5,-0.0
20.1298,289.98,341.71,100.35,102.5,-0.0
20.6683,130.42,250.89,63.3,102.5,-0.0
21.2068,-79.23,407.6,68.48,102.5,-0.0
21.7454,28.69,212.0,80.54,102.5,-0.0
22.284,42.71,130.0,114.33,102.5,-0.0
22.8226,-62.12,816.0,94.53,102.5,-0.0
23.3612,0.0,185.0,146.45,102.5,-0.0
18.4088,210.03,917.34,1742.66,12.7,-50.2
18.8945,149.98,714.28,733.49,12.7,-50.2
19.4329,150.84,801.16,518.97,12.7,-50.2
19.9715,122.79,756.44,330.32,12.7,-50.2
20.5098,162.76,645.52,345.82,12.7,-50.2
21.0484,206.1,702.89,460.39,12.7,-50.2
21.5871,198.62,719.18,624.55,12.7,-50.2
22.6644,231.89,694.99,904.31,12.7,-50.2
23.2029,214.59,669.41,817.98,12.7,-50.2
23.7415,926.05,695.69,665.34,12.7,-50.2
18.4617,187.2,776.66,905.15,102.5,50.2
19.0002,126.12,,128.99,102.5,50.2
19.5387,121.63,523.87,299.35,102.5,50.2
20.0773,202.3,231.14,232.41,102.5,50.2
20.6157,95.63,531.0,191.19,102.5,50.2
21.1544,156.43,966.0,73.5,102.5,50.2
21.6928,151.62,375.88,187.43,102.5,50.2
22.2316,-93.0,658.91,388.15,102.5,50.2
22.77,146.42,705.85,583.52,102.5,50.2
23.3087,970.19,672.59,656.47,102.5,50.2
18.5671,210.86,945.59,1448.76,45.1,-45.0
19.1055,164.56,849.35,518.97,45.1,-45.0
19.644,234.35,626.05,277.54,45.1,-45.0
20.1825,178.41,627.0,206.78,45.1,-45.0
20.721,150.69,710.39,214.31,45.1,-45.0
21.2595,207.81,701.94,383.36,45.1,-45.0
21.7982,257.34,757.16,558.09,45.1,-45.0
22.3368,251.98,749.37,744.61,45.1,-45.0
22.8753,251.54,705.1,820.92,45.1,-45.0
23.414,811.9,714.87,693.44,45.1,-45.0
18.6196,236.92,789.72,1470.46,89.8,-45.0
19.158,243.41,791.41,512.01,89.8,-45.0
19.6966,226.8,1020.39,289.88,89.8,-45.0
20.235,170.48,689.56,131.01,89.8,-45.0
20.7736,236.24,557.94,136.87,89.8,-45.0
21.3121,191.07,699.44,177.63,89.8,-45.0
21.8507,292.89,736.4,326.84,89.8,-45.0
22.3893,,835.36,637.02,89.8,-45.0
22.9279,,715.06,804.89,89.8,-45.0
23.4666,894.44,697.57,643.31,89.8,-45.0
18.6722,241.53,789.94,1091.14,134.9,-45.0
18.7244,248.78,887.61,973.61,134.9,-45.0
18.7768,204.25,1116.02,954.35,134.9,-45.0
18.8289,243.88,1021.64,844.16,134.9,-45.0
19.2106,258.19,1064.58,357.46,134.9,-45.0
19.2628,273.76,813.45,387.18,134.9,-45.0
19.3151,230.59,695.89,342.68,134.9,-45.0
19.3673,231.22,739.65,341.93,134.9,-45.0
19.7491,294.31,765.54,194.84,134.9,-45.0
19.8013,,679.51,171.69,134.9,-45.0
19.8536,,688.64,160.64,134.9,-45.0
19.9058,202.48,588.33,151.04,134.9,-45.0
20.2876,,489.01,93.54,134.9,-45.0
20.3398,274.15,697.29,92.96,134.9,-45.0
20.392,,638.3,98.05,134.9,-45.0
20.4443,243.21,411.65,98.48,134.9,-45.0
20.8262,237.59,417.28,64.48,134.9,-45.0
20.8784,,720.44,69.35,134.9,-45.0
20.9306,243.35,349.96,64.99,134.9,-45.0
20.9828,,290.79,74.72,134.9,-45.0
21.3646,,457.45,91.19,134.9,-45.0
21.4169,,342.63,100.15,134.9,-45.0
21.4691,273.84,287.01,79.09,134.9,-45.0
21.5214,280.42,670.08,121.41,134.9,-45.0
21.9033,201.12,685.7,182.72,134.9,-45.0
21.9555,,399.99,182.63,134.9,-45.0
22.0079,287.62,716.67,196.04,134.9,-45.0
22.0601,294.17,693.43,245.13,134.9,-45.0
22.4419,299.72,760.99,453.69,134.9,-45.0
22.4941,238.48,708.87,501.3,134.9,-45.0
22.5464,267.13,749.33,518.8,134.9,-45.0
22.5986,278.94,740.7,574.7,134.9,-45.0
22.9804,295.17,713.97,721.56,134.9,-45.0
23.0327,293.39,758.18,729.54,134.9,-45.0
23.0849,272.41,736.47,764.31,134.9,-45.0
23.1372,,790.82,771.06,134.9,-45.0
23.5191,269.64,691.27,666.01,134.9,-45.0
23.5714,293.5,722.16,663.28,134.9,-45.0
23.6236,252.66,712.16,586.57,134.9,-45.0
23.6759,892.91,674.83,607.75,134.9,-45.0
18.9477,171.94,787.07,503.57,147.4,39.9
19.4861,-99.74,569.04,284.35,147.4,39.9
20.0246,120.03,487.82,112.63,147.4,39.9
20.5631,150.4,271.08,112.28,147.4,39.9
21.1016,155.15,240.77,144.03,147.4,39.9
21.6402,177.89,421.81,287.03,147.4,39.9
22.1788,151.47,618.86,515.38,147.4,39.9
22.7174,106.43,651.95,679.26,147.4,39.9
23.2561,127.16,720.49,666.24,147.4,39.9
23.7947,8.07,736.92,594.43,147.4,39.9
