times,winds,temps,intensity,angle1,angle2
18.5019,-5.27,873.06,660.33,102.5,-0.0
19.0402,3.57,717.32,216.46,102.5,-0.0
19.5785,-8.31,435.92,77.39,102.5,-0.0
20.1169,62.3,338.08,81.79,102.5,-0.0
20.6549,-21.31,606.48,103.04,102.5,-0.0
21.1932,17.74,643.46,182.08,102.5,-0.0
21.7314,22.93,650.17,307.64,102.5,-0.0
22.2697,-0.53,649.95,277.02,102.5,-0.0
22.808,-2.91,573.08,241.31,102.5,-0.0
23.3463,-20.7,678.15,273.39,102.5,-0.0
23.8846,-19.13,703.21,295.07,102.5,-0.0
24.4229,7.22,721.93,564.15,102.5,-0.0
24.9612,14.25,668.82,504.85,102.5,-0.0
25.4995,16.88,763.41,357.37,102.5,-0.0
26.0378,-2.64,675.75,317.38,102.5,-0.0
26.576,-3.39,629.72,335.89,102.5,-0.0
27.1144,1.44,640.84,206.64,102.5,-0.0
27.6527,4.35,685.96,196.35,102.5,-0.0
28.1909,19.05,555.26,123.73,102.5,-0.0
28.7293,-11.37,590.32,194.07,102.5,-0.0
29.2676,5.79,424.1,150.51,102.5,-0.0
18.3965,0.93,916.94,673.09,12.8,-50.2
18.882,-15.37,805.69,245.92,12.8,-50.2
19.4203,3.9,471.43,88.17,12.8,-50.2
19.9585,-2.98,296.65,52.33,12.8,-50.2
20.4967,-31.0,559.08,89.56,12.8,-50.2
21.0349,-15.09,586.6,135.35,12.8,-50.2
21.5732,43.19,590.15,217.5,12.8,-50.2
22.1114,1.72,663.68,234.89,12.8,-50.2
22.6498,-26.27,700.98,197.19,12.8,-50.2
23.188,-26.47,725.48,213.48,12.8,-50.2
23.7263,-5.85,702.9,275.74,12.8,-50.2
24.2647,-10.08,719.32,344.25,12.8,-50.2
24.803,23.43,748.11,476.81,12.8,-50.2
25.3412,21.61,698.86,304.26,12.8,-50.2
25.8796,7.21,723.13,330.14,12.8,-50.2
26.4178,-5.55,724.47,269.48,12.8,-50.2
26.9564,-16.86,655.83,179.84,12.8,-50.2
27.4946,17.27,663.16,162.66,12.8,-50.2
28.0327,39.51,486.29,109.44,12.8,-50.2
28.5711,23.5,557.88,104.3,12.8,-50.2
29.1094,-94.9,592.44,130.13,12.8,-50.2
29.6477,2.26,742.51,296.95,12.8,-50.2
18.4494,2.0,926.13,585.98,102.5,50.2
18.9876,16.11,586.49,170.88,102.5,50.2
19.526,-32.94,615.75,80.7,102.5,50.2
20.0642,-42.86,394.96,58.43,102.5,50.2
20.6024,1.25,478.16,97.45,102.5,50.2
21.1406,31.55,571.86,144.44,102.5,50.2
21.6789,14.55,674.56,257.9,102.5,50.2
22.2171,-5.11,601.67,215.71,102.5,50.2
22.7555,1.62,643.86,202.05,102.5,50.2
23.2937,-3.24,654.83,204.2,102.5,50.2
23.832,-3.24,644.15,209.79,102.5,50.2
24.3704,17.58,685.94,401.93,102.5,50.2
24.9087,22.1,666.98,392.14,102.5,50.2
25.447,21.57,731.37,304.84,102.5,50.2
25.9853,2.75,745.25,314.49,102.5,50.2
26.5235,4.15,730.19,304.06,102.5,50.2
27.0619,8.16,616.12,198.19,102.5,50.2
