times,winds,temps,intensity,angle1,angle2
18.5128,-29.3,866.21,764.72,102.6,-0.0
19.0512,2.33,494.26,133.56,102.6,-0.0
19.5896,-11.94,542.67,57.15,102.6,-0.0
20.1279,209.0,,74.73,102.6,-0.0
20.6663,285.31,132.54,43.88,102.6,-0.0
21.2044,-10.58,415.95,595.31,102.6,-0.0
21.7426,3.55,721.22,656.33,102.6,-0.0
22.281,-4.83,692.9,522.93,102.6,-0.0
22.8193,12.54,673.48,550.39,102.6,-0.0
23.3577,10.41,667.46,402.83,102.6,-0.0
23.8962,13.03,696.4,324.75,102.6,-0.0
24.4345,-5.36,643.54,200.03,102.6,-0.0
24.9727,-12.02,697.14,254.78,102.6,-0.0
25.511,-6.06,626.92,266.16,102.6,-0.0
26.0493,17.9,531.47,216.66,102.6,-0.0
26.5876,1.84,656.54,142.23,102.6,-0.0
27.1258,0.76,690.95,141.73,102.6,-0.0
27.6641,-8.09,442.08,,102.6,-0.0
28.2023,6.5,671.8,256.36,102.6,-0.0
28.7405,0.52,792.94,215.56,102.6,-0.0
29.2791,-17.71,771.8,116.17,102.6,-0.0
18.4073,44.83,824.82,1391.41,12.8,-50.2
18.8929,32.62,789.03,453.57,12.8,-50.2
19.4313,-0.45,712.76,309.85,12.8,-50.2
19.9697,-6.87,800.26,509.17,12.8,-50.2
20.5079,-27.38,702.36,872.13,12.8,-50.2
21.0461,-13.48,758.22,1263.24,12.8,-50.2
21.5844,9.25,699.43,946.64,12.8,-50.2
22.1227,6.67,782.86,872.12,12.8,-50.2
22.6611,18.57,745.86,931.67,12.8,-50.2
23.1996,37.8,752.18,669.37,12.8,-50.2
23.7379,34.0,639.61,534.18,12.8,-50.2
24.2763,36.34,658.46,310.74,12.8,-50.2
24.8145,-23.39,624.29,201.96,12.8,-50.2
25.3527,-38.03,588.83,240.22,12.8,-50.2
25.891,-70.56,449.39,116.22,12.8,-50.2
26.4293,-0.97,361.79,62.2,12.8,-50.2
26.9676,-85.49,427.34,63.99,12.8,-50.2
27.5059,-25.9,641.68,94.51,12.8,-50.2
28.0441,29.15,673.99,165.33,12.8,-50.2
28.5823,60.82,688.51,207.22,12.8,-50.2
29.1207,50.15,423.74,90.27,12.8,-50.2
29.6589,-10.19,643.98,281.95,12.8,-50.2
18.4602,18.26,761.81,716.75,102.6,50.2
18.9986,2.63,716.05,185.97,102.6,50.2
19.5371,-12.7,526.24,96.05,102.6,50.2
20.0754,30.55,556.64,158.28,102.6,50.2
