times,winds,temps,intensity,angle1,angle2
18.4751,-3.11,1107.18,,102.6,-0.0
19.0134,-0.75,879.09,600.13,102.6,-0.0
19.5515,-8.95,826.13,382.38,102.6,-0.0
20.0897,-22.53,723.61,243.41,102.6,-0.0
20.6279,-40.52,1099.42,320.82,102.6,-0.0
21.1663,-15.56,799.31,384.45,102.6,-0.0
21.7046,-10.19,873.45,761.83,102.6,-0.0
22.2427,-13.49,914.15,1020.47,102.6,-0.0
22.7809,-8.22,855.7,1320.62,102.6,-0.0
23.3192,-7.1,537.63,776.57,102.6,-0.0
23.8576,-5.8,848.22,691.08,102.6,-0.0
24.3959,-7.0,831.85,636.01,102.6,-0.0
24.9343,-2.76,703.47,414.57,102.6,-0.0
25.4726,18.01,813.67,358.36,102.6,-0.0
26.0109,8.21,722.97,335.89,102.6,-0.0
26.5493,-8.87,744.89,365.34,102.6,-0.0
27.0877,-25.36,643.66,341.5,102.6,-0.0
27.626,-16.2,598.62,271.8,102.6,-0.0
28.1642,0.5,806.33,235.03,102.6,-0.0
28.7025,-1.52,443.89,154.41,102.6,-0.0
29.2408,-12.39,808.98,142.19,102.6,-0.0
18.3697,44.69,946.69,2420.87,12.7,-50.2
18.8551,55.76,876.04,1227.07,12.7,-50.2
19.3933,34.06,848.43,797.04,12.7,-50.2
19.9314,24.62,833.83,,12.7,-50.2
20.4696,43.04,719.72,499.43,12.7,-50.2
21.0079,-31.26,841.18,819.78,12.7,-50.2
21.5462,-23.13,789.93,1390.11,12.7,-50.2
22.0845,-27.05,767.88,1531.62,12.7,-50.2
22.6227,-30.6,1064.44,1480.11,12.7,-50.2
23.161,-5.1,771.94,960.92,12.7,-50.2
23.6994,-6.59,858.11,848.84,12.7,-50.2
24.2377,-13.9,755.08,814.87,12.7,-50.2
24.776,-29.53,710.8,535.65,12.7,-50.2
25.3143,-33.65,674.76,485.89,12.7,-50.2
25.8526,-33.15,783.41,408.99,12.7,-50.2
