times,winds,temps,intensity,angle1,angle2
18.4867,10.8,993.5,1151.53,102.6,0.0
19.0249,31.4,959.04,319.15,102.6,0.0
19.5633,35.9,750.59,114.0,102.6,0.0
20.1012,2.58,207.16,33.27,102.6,0.0
20.6394,56.26,,22.18,102.6,0.0
21.1776,108.9,,12.75,102.6,0.0
21.7159,-34.07,398.36,15.15,102.6,0.0
22.2542,-84.65,290.53,24.24,102.6,0.0
22.7924,-46.11,717.16,33.89,102.6,0.0
23.3306,11.77,291.26,43.59,102.6,0.0
23.8688,-31.18,489.39,51.71,102.6,0.0
24.4072,18.7,299.31,44.38,102.6,0.0
24.9455,11.52,391.21,58.68,102.6,0.0
25.4838,61.91,645.63,78.51,102.6,0.0
26.0222,79.34,832.01,144.26,102.6,0.0
26.5602,50.12,494.35,103.35,102.6,0.0
27.0984,76.79,654.49,132.71,102.6,0.0
27.6369,73.22,715.9,153.59,102.6,0.0
28.175,53.15,587.03,130.74,102.6,0.0
28.7136,1.02,984.33,248.4,102.6,0.0
29.2517,36.96,686.59,264.29,102.6,0.0
18.3813,58.88,890.43,1924.38,12.7,-50.2
18.8667,47.03,977.07,652.68,12.7,-50.2
19.4048,65.16,908.02,347.27,12.7,-50.2
19.943,39.61,597.52,124.64,12.7,-50.2
20.4812,71.53,289.24,44.55,12.7,-50.2
21.0193,85.89,324.89,48.59,12.7,-50.2
21.5577,-1.66,577.85,77.28,12.7,-50.2
22.096,70.5,398.96,63.13,12.7,-50.2
22.6341,29.68,563.46,129.56,12.7,-50.2
23.1723,24.29,573.97,143.75,12.7,-50.2
23.7105,-6.68,705.72,130.47,12.7,-50.2
24.2491,35.7,485.39,163.89,12.7,-50.2
24.7873,38.16,743.64,203.65,12.7,-50.2
25.3255,32.16,715.59,182.03,12.7,-50.2
25.8639,13.51,682.42,158.61,12.7,-50.2
26.402,6.63,698.98,136.07,12.7,-50.2
26.9402,24.1,588.41,124.36,12.7,-50.2
27.4785,34.48,659.88,135.77,12.7,-50.2
28.0168,29.38,780.16,169.08,12.7,-50.2
28.5551,29.89,853.17,264.32,12.7,-50.2
29.0934,46.38,771.86,327.41,12.7,-50.2
29.6318,24.4,800.25,627.69,12.7,-50.2
18.4342,67.17,1003.96,1005.81,102.6,50.2
18.9724,83.55,971.87,315.31,102.6,50.2
19.5105,40.65,494.04,120.27,102.6,50.2
20.0487,63.47,166.73,27.39,102.6,50.2
20.5868,150.29,509.54,19.96,102.6,50.2
21.1251,46.47,,23.53,102.6,50.2
21.6634,-36.05,299.25,18.88,102.6,50.2
22.2017,63.87,299.45,23.03,102.6,50.2
22.7398,113.87,267.99,16.97,102.6,50.2
23.278,-2.76,266.34,26.71,102.6,50.2
23.8162,9.01,254.15,35.84,102.6,50.2
24.3546,-62.8,334.13,32.1,102.6,50.2
24.8929,12.33,348.83,24.01,102.6,50.2
25.4312,110.84,275.27,26.18,102.6,50.2
25.9696,67.22,362.14,37.52,102.6,50.2
26.5077,-17.52,216.7,44.95,102.6,50.2
27.0459,60.79,602.09,105.0,102.6,50.2
27.5841,82.42,620.97,115.9,102.6,50.2
28.1225,64.24,906.31,181.44,102.6,50.2
28.6608,46.86,619.36,184.54,102.6,50.2
29.1991,13.85,812.33,319.06,102.6,50.2
29.7375,15.4,767.16,2351.53,102.6,50.2
18.5394,17.98,1042.42,1543.89,45.1,-45.0
19.0776,42.71,978.92,471.68,45.1,-45.0
19.6158,-4.19,685.53,196.88,45.1,-45.0
20.1539,-48.52,347.25,51.84,45.1,-45.0
20.6921,112.98,496.24,34.11,45.1,-45.0
21.2303,-14.35,230.2,68.69,45.1,-45.0
21.7689,15.14,313.17,57.1,45.1,-45.0
22.3069,-41.95,400.63,75.13,45.1,-45.0
22.8451,-35.6,490.5,116.71,45.1,-45.0
23.3833,-58.92,671.12,134.07,45.1,-45.0
23.9215,6.94,634.9,188.79,45.1,-45.0
24.4599,28.01,865.33,198.27,45.1,-45.0
24.9982,61.3,696.15,196.05,45.1,-45.0
25.5365,12.21,565.76,145.95,45.1,-45.0
26.0748,-17.25,386.46,141.91,45.1,-45.0
26.6129,35.44,581.46,107.09,45.1,-45.0
27.1511,32.2,636.39,122.19,45.1,-45.0
27.6894,52.87,693.16,123.99,45.1,-45.0
28.2277,43.3,980.08,137.19,45.1,-45.0
28.766,58.16,641.89,223.02,45.1,-45.0
29.3043,31.22,701.93,315.52,45.1,-45.0
18.5919,7.67,1050.08,,89.8,-45.0
19.1301,-21.18,1001.29,434.86,89.8,-45.0
19.6683,-61.0,587.02,139.46,89.8,-45.0
20.2065,250.56,621.0,29.7,89.8,-45.0
20.7446,171.51,926.2,30.49,89.8,-45.0
21.2829,189.56,557.0,14.11,89.8,-45.0
21.8212,41.5,775.0,24.74,89.8,-45.0
22.3594,15.77,309.04,43.78,89.8,-45.0
22.8976,-79.75,427.78,86.86,89.8,-45.0
23.4358,-69.11,548.04,121.45,89.8,-45.0
23.974,-16.03,735.37,225.67,89.8,-45.0
24.5124,-13.96,1122.92,243.47,89.8,-45.0
25.0507,8.19,640.86,168.25,89.8,-45.0
25.589,-27.67,719.53,122.64,89.8,-45.0
26.1274,-54.16,434.89,83.55,89.8,-45.0
26.6655,19.66,510.15,114.21,89.8,-45.0
27.2037,40.16,681.33,123.86,89.8,-45.0
27.7421,44.21,629.14,123.85,89.8,-45.0
28.2802,131.02,434.46,97.58,89.8,-45.0
28.8186,41.78,792.56,206.49,89.8,-45.0
29.3569,53.88,740.68,310.71,89.8,-45.0
18.6445,-26.19,1084.29,1349.07,134.9,-45.0
18.6967,-33.52,1061.27,1132.16,134.9,-45.0
18.749,-35.08,1076.66,965.51,134.9,-45.0
18.8012,-43.46,1062.83,818.78,134.9,-45.0
19.1827,-37.31,915.79,302.42,134.9,-45.0
19.2349,-73.23,876.41,274.02,134.9,-45.0
19.2871,-64.57,683.16,219.97,134.9,-45.0
19.3393,-69.62,726.53,206.28,134.9,-45.0
19.7209,-43.08,544.58,76.43,134.9,-45.0
19.7732,-28.28,395.93,62.12,134.9,-45.0
19.8255,-55.77,522.26,69.16,134.9,-45.0
19.8777,-78.0,476.34,59.16,134.9,-45.0
20.259,70.7,214.98,23.26,134.9,-45.0
20.3112,-14.43,783.9,22.1,134.9,-45.0
20.3635,176.68,316.18,30.26,134.9,-45.0
20.4157,129.18,,24.01,134.9,-45.0
20.7971,-32.98,323.0,20.98,134.9,-45.0
20.8494,288.21,621.0,13.61,134.9,-45.0
20.9016,29.01,,12.0,134.9,-45.0
20.9538,147.92,773.0,15.67,134.9,-45.0
21.3354,126.03,,13.39,134.9,-45.0
21.3876,-25.97,,19.29,134.9,-45.0
21.4398,38.18,248.0,18.49,134.9,-45.0
21.4921,140.51,,17.41,134.9,-45.0
21.8737,-60.77,251.59,7.83,134.9,-45.0
21.9259,189.67,236.52,22.08,134.9,-45.0
21.9782,151.21,874.0,17.41,134.9,-45.0
22.0304,212.26,210.98,18.41,134.9,-45.0
22.412,143.59,616.52,30.51,134.9,-45.0
22.4642,50.58,245.06,35.39,134.9,-45.0
22.5164,-1.35,206.77,32.57,134.9,-45.0
22.5687,-9.75,261.81,38.53,134.9,-45.0
22.9502,-7.11,387.82,50.56,134.9,-45.0
23.0024,18.89,347.45,50.1,134.9,-45.0
23.0546,-25.04,351.26,60.08,134.9,-45.0
23.1068,-56.89,517.09,67.07,134.9,-45.0
23.4885,-50.75,571.98,93.49,134.9,-45.0
23.5406,-26.11,573.85,98.93,134.9,-45.0
23.5928,-49.99,468.7,99.36,134.9,-45.0
23.6451,-14.65,447.01,100.79,134.9,-45.0
24.0266,-35.19,731.35,166.51,134.9,-45.0
24.0788,-32.25,745.49,156.58,134.9,-45.0
24.131,-42.61,624.57,151.29,134.9,-45.0
24.1833,-15.5,478.85,138.58,134.9,-45.0
24.5649,17.64,537.68,164.54,134.9,-45.0
24.6172,-13.89,825.75,154.28,134.9,-45.0
24.6694,4.17,634.4,143.22,134.9,-45.0
24.7216,4.84,624.6,132.98,134.9,-45.0
25.1033,-27.36,438.15,106.14,134.9,-45.0
25.1555,-18.06,600.54,108.18,134.9,-45.0
25.2077,18.44,547.0,108.15,134.9,-45.0
25.26,31.56,529.83,104.53,134.9,-45.0
25.6416,14.09,611.84,105.96,134.9,-45.0
25.6938,22.02,616.12,116.63,134.9,-45.0
25.7461,14.95,470.84,113.96,134.9,-45.0
25.7983,44.0,682.33,103.02,134.9,-45.0
26.1799,44.7,641.81,124.22,134.9,-45.0
26.2321,-1.54,433.53,104.57,134.9,-45.0
26.2844,-7.33,518.62,113.65,134.9,-45.0
26.3366,26.07,471.65,111.79,134.9,-45.0
26.718,21.11,712.25,157.05,134.9,-45.0
26.7703,18.72,745.15,167.91,134.9,-45.0
26.8225,40.61,659.56,160.29,134.9,-45.0
26.8748,27.14,711.2,170.68,134.9,-45.0
27.2562,45.66,707.17,183.29,134.9,-45.0
27.3085,52.8,717.68,180.83,134.9,-45.0
27.3607,38.53,688.16,182.06,134.9,-45.0
27.4129,47.51,762.55,171.24,134.9,-45.0
27.7945,48.1,647.85,135.61,134.9,-45.0
27.8467,43.32,404.1,134.41,134.9,-45.0
27.8991,45.0,556.81,154.88,134.9,-45.0
27.9512,70.71,376.94,137.28,134.9,-45.0
28.3328,7.76,484.65,119.22,134.9,-45.0
28.385,23.78,577.62,186.29,134.9,-45.0
28.4372,20.23,316.07,164.71,134.9,-45.0
28.4896,13.29,735.16,198.95,134.9,-45.0
28.8712,18.72,595.27,237.38,134.9,-45.0
28.9235,28.09,653.56,241.87,134.9,-45.0
28.9758,22.4,643.52,251.84,134.9,-45.0
29.0279,16.6,577.69,263.05,134.9,-45.0
29.4094,5.33,696.85,354.25,134.9,-45.0
29.4617,33.7,692.39,411.83,134.9,-45.0
29.5139,24.47,827.22,486.15,134.9,-45.0
29.5661,12.64,821.27,501.34,134.9,-45.0
18.9198,67.28,954.7,432.08,147.5,39.9
19.458,91.26,906.81,235.42,147.5,39.9
19.9962,39.39,725.63,75.48,147.5,39.9
20.5343,-77.03,264.29,29.32,147.5,39.9
21.0728,27.91,304.7,19.2,147.5,39.9
21.6111,-0.29,460.88,30.86,147.5,39.9
22.1491,-17.74,,32.36,147.5,39.9
22.6873,34.11,498.13,43.82,147.5,39.9
23.2255,14.17,373.5,59.02,147.5,39.9
23.7637,-30.01,395.79,60.83,147.5,39.9
24.3021,19.04,362.01,62.45,147.5,39.9
24.8404,61.52,343.3,56.49,147.5,39.9
25.3787,-7.71,416.05,57.8,147.5,39.9
25.9171,-10.72,546.83,84.53,147.5,39.9
26.4552,53.96,614.98,91.53,147.5,39.9
26.9935,44.96,723.8,126.35,147.5,39.9
27.5316,86.71,758.97,155.15,147.5,39.9
28.0699,64.12,388.71,95.8,147.5,39.9
28.6083,51.59,959.55,244.02,147.5,39.9
29.1466,31.39,661.17,252.89,147.5,39.9
29.6849,24.66,759.14,1068.67,147.5,39.9
