times,winds,temps,intensity,angle1,angle2
18.5076,4.08,852.59,827.76,102.5,0.0
19.0459,,756.79,145.91,102.5,0.0
19.5841,,163.6,114.4,102.5,0.0
20.1224,,959.49,57.73,102.5,0.0
20.6608,283.45,735.52,20.91,102.5,0.0
21.1991,,,22.55,102.5,0.0
22.2755,7.97,316.78,31.77,102.5,0.0
22.8139,-50.7,692.05,50.41,102.5,0.0
23.3521,-8.55,851.22,77.37,102.5,0.0
23.8902,2.21,591.64,108.28,102.5,0.0
24.4286,12.25,395.09,160.34,102.5,0.0
24.9668,17.59,812.33,245.01,102.5,0.0
25.505,10.0,882.25,256.52,102.5,0.0
26.0433,15.42,758.24,233.88,102.5,0.0
26.5814,28.72,843.1,298.25,102.5,0.0
27.1196,54.67,708.21,309.53,102.5,0.0
27.6578,39.28,666.97,310.77,102.5,0.0
28.1962,28.2,676.23,293.23,102.5,0.0
28.7344,21.77,642.76,274.74,102.5,0.0
29.2728,-8.89,675.28,177.42,102.5,0.0
18.4021,27.89,1003.58,1427.38,12.8,-50.2
18.8876,39.57,721.14,285.89,12.8,-50.2
19.4258,59.65,395.45,138.98,12.8,-50.2
19.9643,-18.8,304.93,71.65,12.8,-50.2
20.5025,-36.49,279.45,38.19,12.8,-50.2
21.0407,42.73,228.67,31.1,12.8,-50.2
21.5791,-48.06,352.19,45.41,12.8,-50.2
22.1173,175.68,367.55,32.23,12.8,-50.2
22.6556,-70.17,635.52,53.69,12.8,-50.2
23.1938,-30.61,387.78,38.39,12.8,-50.2
23.732,-70.78,519.04,59.15,12.8,-50.2
24.2703,-22.43,736.63,96.24,12.8,-50.2
24.8086,16.08,867.61,194.92,12.8,-50.2
25.3468,17.86,822.43,229.77,12.8,-50.2
25.885,26.41,878.39,231.89,12.8,-50.2
26.4232,20.26,914.64,225.64,12.8,-50.2
26.9615,33.44,720.13,238.35,12.8,-50.2
27.4996,37.75,833.35,265.92,12.8,-50.2
28.0379,40.43,667.07,297.82,12.8,-50.2
28.5762,25.72,673.69,316.36,12.8,-50.2
29.1145,7.0,633.59,248.62,12.8,-50.2
29.6527,-2.11,694.67,410.5,12.8,-50.2
18.455,9.47,757.66,761.32,102.5,50.2
18.9933,58.48,564.34,129.36,102.5,50.2
