times,winds,temps,intensity,angle1,angle2
18.4493,-15.33,1037.0,1429.22,102.6,-0.0
18.9878,-22.48,971.03,381.41,102.6,-0.0
19.5263,-61.15,774.1,215.02,102.6,-0.0
20.0648,-89.05,867.69,,102.6,-0.0
20.6032,-16.03,1182.44,343.83,102.6,-0.0
21.1417,-10.72,1038.82,773.06,102.6,-0.0
21.6802,10.99,934.87,1413.93,102.6,-0.0
22.2188,14.2,820.04,936.83,102.6,-0.0
22.7572,3.36,991.23,1171.31,102.6,-0.0
23.2958,9.61,855.86,1150.59,102.6,-0.0
23.8341,3.07,951.45,777.76,102.6,-0.0
24.3726,-15.16,873.06,833.78,102.6,-0.0
24.9111,7.48,861.1,1036.86,102.6,-0.0
25.4495,-3.93,881.58,1204.71,102.6,-0.0
25.9883,-1.09,879.66,1211.76,102.6,-0.0
26.5266,3.81,879.82,1022.28,102.6,-0.0
27.065,4.58,827.84,533.54,102.6,-0.0
27.6034,0.75,681.46,291.1,102.6,-0.0
28.1419,21.92,701.28,224.09,102.6,-0.0
28.6804,11.58,529.32,163.99,102.6,-0.0
29.2188,-12.66,654.07,169.94,102.6,-0.0
18.3438,37.26,1089.72,2630.79,12.8,-50.2
18.8296,57.13,1010.29,1025.35,12.8,-50.2
19.368,26.22,971.8,636.79,12.8,-50.2
19.9065,-58.31,949.79,387.4,12.8,-50.2
20.4449,17.92,881.54,800.97,12.8,-50.2
20.9834,-15.0,950.15,1549.48,12.8,-50.2
21.5219,-4.54,902.54,1784.17,12.8,-50.2
22.0604,4.56,892.16,1631.18,12.8,-50.2
22.5988,-0.33,916.95,1708.23,12.8,-50.2
23.1373,0.6,896.75,1430.48,12.8,-50.2
23.6758,0.83,864.4,1212.96,12.8,-50.2
24.2143,-0.4,892.47,1383.45,12.8,-50.2
24.7529,6.62,858.49,1577.37,12.8,-50.2
25.2913,-1.34,850.23,1649.79,12.8,-50.2
25.8298,-1.15,879.56,1541.43,12.8,-50.2
26.3683,3.41,833.42,1582.3,12.8,-50.2
26.9069,27.96,804.34,945.57,12.8,-50.2
27.4451,47.83,758.75,517.61,12.8,-50.2
27.9836,27.2,595.86,271.06,12.8,-50.2
28.5221,14.03,683.28,237.72,12.8,-50.2
29.0606,-14.42,573.81,186.25,12.8,-50.2
29.599,-0.43,836.14,698.28,12.8,-50.2
18.3968,53.26,1012.36,1241.12,102.6,50.2
18.9354,44.89,917.09,332.7,102.6,50.2
19.4738,3.41,810.12,208.21,102.6,50.2
20.0123,-47.29,,,102.6,50.2
20.5507,51.44,1079.47,390.41,102.6,50.2
21.0891,71.41,950.23,976.01,102.6,50.2
21.6276,81.38,878.44,1609.39,102.6,50.2
22.1661,88.76,839.93,1214.48,102.6,50.2
22.7046,78.8,970.89,1489.74,102.6,50.2
23.243,74.05,898.11,1436.67,102.6,50.2
23.7815,78.13,922.14,1092.62,102.6,50.2
24.3201,45.02,827.98,851.56,102.6,50.2
24.8585,67.26,865.39,1044.45,102.6,50.2
25.3972,62.45,886.11,1374.72,102.6,50.2
25.9355,63.11,888.09,1288.87,102.6,50.2
26.4741,60.69,856.68,1342.13,102.6,50.2
27.0124,61.02,752.62,608.56,102.6,50.2
27.5509,70.21,751.72,385.88,102.6,50.2
28.0893,57.2,614.58,254.48,102.6,50.2
28.6278,48.25,518.51,185.21,102.6,50.2
29.1663,-3.07,748.48,255.49,102.6,50.2
18.5021,-7.77,1107.1,2109.19,45.0,-45.0
19.0405,-5.36,1012.38,711.44,45.0,-45.0
19.579,-76.84,913.11,382.38,45.0,-45.0
20.1175,-55.06,855.86,456.14,45.0,-45.0
20.6559,-46.75,903.63,739.2,45.0,-45.0
21.1944,-49.77,950.22,1435.74,45.0,-45.0
21.7329,-39.56,890.5,1503.62,45.0,-45.0
22.2714,-46.35,960.12,1471.38,45.0,-45.0
22.8099,-48.45,917.94,1382.9,45.0,-45.0
23.3483,-32.61,848.49,1269.18,45.0,-45.0
23.8868,-20.62,916.22,1137.38,45.0,-45.0
24.4253,-26.18,891.3,1319.09,45.0,-45.0
24.9638,-29.09,840.32,1477.82,45.0,-45.0
25.5024,-30.05,887.67,1562.68,45.0,-45.0
26.0408,-20.88,864.5,1620.35,45.0,-45.0
26.5793,-16.97,855.74,1422.01,45.0,-45.0
27.1177,-11.7,860.61,730.55,45.0,-45.0
27.6563,-19.0,789.85,405.07,45.0,-45.0
28.1946,-28.01,692.11,285.26,45.0,-45.0
28.7333,-28.55,683.58,228.5,45.0,-45.0
29.2715,-52.85,774.27,209.6,45.0,-45.0
18.5546,-63.8,1118.78,2153.17,89.8,-45.0
19.0931,-83.98,970.56,567.94,89.8,-45.0
19.6316,110.25,825.13,281.7,89.8,-45.0
20.1701,-99.77,776.7,296.42,89.8,-45.0
20.7085,105.92,899.12,539.73,89.8,-45.0
21.2469,-94.96,953.7,921.9,89.8,-45.0
21.7855,-58.35,881.6,1584.48,89.8,-45.0
22.3241,-76.85,992.51,1315.98,89.8,-45.0
22.8624,-69.83,885.26,1258.2,89.8,-45.0
23.4009,-62.5,879.24,1237.88,89.8,-45.0
23.9394,-57.47,988.47,1088.73,89.8,-45.0
24.4778,-49.44,872.26,1224.55,89.8,-45.0
25.0164,-41.76,865.29,1501.97,89.8,-45.0
25.5548,-60.08,821.32,1524.43,89.8,-45.0
26.0934,-54.67,858.22,1679.32,89.8,-45.0
26.6319,-40.23,843.0,1268.24,89.8,-45.0
27.1702,-49.77,806.27,681.95,89.8,-45.0
27.7087,-49.23,758.0,385.23,89.8,-45.0
28.2472,-51.77,669.92,300.04,89.8,-45.0
28.7856,-71.53,583.6,206.35,89.8,-45.0
29.3241,-39.05,738.0,232.53,89.8,-45.0
18.6072,-83.93,1082.37,1714.63,134.8,-45.0
18.6595,-89.49,1009.34,1387.75,134.8,-45.0
18.7117,-87.96,984.92,1184.93,134.8,-45.0
18.7639,-93.72,1087.68,1016.02,134.8,-45.0
19.1457,-96.95,853.48,398.14,134.8,-45.0
19.1979,104.06,890.08,385.32,134.8,-45.0
19.2501,-76.94,820.11,341.85,134.8,-45.0
19.3024,108.85,911.3,318.68,134.8,-45.0
19.6842,-94.31,726.11,201.28,134.8,-45.0
19.7364,155.16,854.2,210.51,134.8,-45.0
19.7887,101.42,650.98,182.81,134.8,-45.0
19.841,113.99,773.25,203.34,134.8,-45.0
20.2226,133.06,581.5,169.7,134.8,-45.0
20.2749,175.29,485.81,163.38,134.8,-45.0
20.3271,152.4,1122.1,208.41,134.8,-45.0
20.3794,-90.32,836.64,181.19,134.8,-45.0
