times,winds,temps,intensity,angle1,angle2
18.4853,2.96,982.38,1080.98,102.5,-0.0
19.0235,-2.2,874.57,587.48,102.5,-0.0
19.5618,-11.67,789.12,685.5,102.5,-0.0
20.1001,-6.25,822.29,679.4,102.5,-0.0
20.6385,-9.47,755.69,798.7,102.5,-0.0
21.1768,-6.6,795.6,764.84,102.5,-0.0
21.7151,-14.48,763.56,703.16,102.5,-0.0
22.2535,-24.97,753.8,682.93,102.5,-0.0
22.7921,-0.76,813.38,860.53,102.5,-0.0
23.3305,5.86,744.96,752.18,102.5,-0.0
23.8687,-1.97,725.05,620.3,102.5,-0.0
24.4069,1.03,770.88,531.49,102.5,-0.0
24.9455,0.39,763.45,385.01,102.5,-0.0
25.4837,-4.97,723.48,384.1,102.5,-0.0
26.022,-0.03,774.93,315.79,102.5,-0.0
26.5603,-12.53,718.2,234.24,102.5,-0.0
27.0986,2.98,613.12,156.56,102.5,-0.0
27.6369,-0.07,615.51,124.56,102.5,-0.0
28.1752,-31.26,438.05,97.35,102.5,-0.0
28.7135,-5.01,379.93,81.78,102.5,-0.0
29.2519,-5.81,646.47,95.38,102.5,-0.0
18.3799,16.91,866.49,889.24,12.8,-50.2
18.8653,13.06,789.36,512.64,12.8,-50.2
19.4036,16.31,756.79,729.65,12.8,-50.2
19.9419,9.61,812.47,883.41,12.8,-50.2
20.4802,26.2,845.32,1307.49,12.8,-50.2
21.0186,2.3,825.01,1195.99,12.8,-50.2
21.5569,-30.57,753.47,632.46,12.8,-50.2
22.0953,-60.94,771.04,526.59,12.8,-50.2
22.6337,-61.05,815.28,513.67,12.8,-50.2
23.1721,-17.59,752.51,698.52,12.8,-50.2
23.7104,-36.26,763.9,656.31,12.8,-50.2
24.2487,-25.26,746.29,637.25,12.8,-50.2
24.787,-20.29,829.58,622.58,12.8,-50.2
25.3254,-34.59,820.64,554.04,12.8,-50.2
25.8638,-30.63,765.16,498.13,12.8,-50.2
26.4021,-12.67,761.74,411.77,12.8,-50.2
26.9404,7.9,644.41,305.64,12.8,-50.2
27.4787,-17.07,716.99,253.64,12.8,-50.2
28.017,3.66,592.87,203.73,12.8,-50.2
28.5552,-10.91,669.98,149.48,12.8,-50.2
29.0937,-16.59,413.81,83.3,12.8,-50.2
29.6319,-28.05,686.82,415.13,12.8,-50.2
18.4327,11.19,944.04,872.23,102.5,50.2
18.971,18.49,694.94,402.79,102.5,50.2
19.5093,15.55,848.67,612.98,102.5,50.2
20.0476,48.17,813.93,696.28,102.5,50.2
20.5859,53.23,776.19,806.99,102.5,50.2
21.1242,57.93,840.9,807.17,102.5,50.2
21.6626,15.86,729.8,564.89,102.5,50.2
22.201,-0.61,774.62,586.41,102.5,50.2
22.7394,77.94,761.94,911.23,102.5,50.2
23.2778,85.73,739.73,731.04,102.5,50.2
23.8161,74.65,714.34,620.14,102.5,50.2
24.3544,65.66,711.8,484.93,102.5,50.2
24.8927,42.2,743.24,335.99,102.5,50.2
25.4312,40.16,849.87,359.42,102.5,50.2
25.9695,34.2,708.78,301.11,102.5,50.2
26.5078,26.57,791.38,247.1,102.5,50.2
27.0462,-3.42,774.22,179.76,102.5,50.2
27.5843,45.87,630.6,159.95,102.5,50.2
28.1227,-11.25,519.25,118.01,102.5,50.2
