times,winds,temps,intensity,angle1,angle2
18.4291,37.89,680.77,1371.01,102.6,-0.0
18.9675,40.94,794.53,675.5,102.6,-0.0
19.5057,-84.57,706.39,558.14,102.6,-0.0
20.0442,-3.39,643.5,443.4,102.6,-0.0
20.5826,-66.77,734.2,492.67,102.6,-0.0
21.1212,-14.14,656.28,551.29,102.6,-0.0
21.6599,-25.15,757.87,1108.12,102.6,-0.0
22.1985,-18.83,740.03,1350.1,102.6,-0.0
22.7371,-6.54,498.81,924.5,102.6,-0.0
23.2757,21.77,,296.08,102.6,-0.0
23.8143,54.23,549.31,266.64,102.6,-0.0
24.3532,-93.94,782.96,246.1,102.6,-0.0
24.8919,12.79,335.65,177.74,102.6,-0.0
25.4308,84.72,329.97,108.74,102.6,-0.0
25.9697,-51.04,260.78,125.86,102.6,-0.0
26.5085,13.13,325.18,128.01,102.6,-0.0
27.0469,49.52,457.02,143.29,102.6,-0.0
27.5853,80.25,421.11,60.35,102.6,-0.0
28.1238,-21.59,406.13,76.7,102.6,-0.0
28.662,151.85,357.07,77.64,102.6,-0.0
29.2002,-47.27,568.35,108.39,102.6,-0.0
18.3237,-16.71,944.15,1781.95,12.7,-50.2
18.8092,-60.99,902.77,871.62,12.7,-50.2
19.3474,-54.32,679.59,964.72,12.7,-50.2
19.8858,-94.62,735.01,556.84,12.7,-50.2
20.4243,-45.09,788.59,411.69,12.7,-50.2
20.9628,-58.26,708.52,575.02,12.7,-50.2
21.5015,-39.49,726.6,874.16,12.7,-50.2
22.0401,-23.34,780.14,1795.22,12.7,-50.2
22.5787,46.88,824.13,1523.83,12.7,-50.2
23.1172,44.18,757.09,1081.81,12.7,-50.2
23.6559,-34.91,710.58,964.23,12.7,-50.2
24.1948,-14.5,721.07,737.01,12.7,-50.2
24.7336,-72.06,646.0,390.62,12.7,-50.2
25.2724,-20.45,194.28,104.79,12.7,-50.2
25.8113,-28.63,228.04,109.06,12.7,-50.2
26.3501,-74.05,498.55,185.68,12.7,-50.2
26.8886,-39.49,519.63,216.13,12.7,-50.2
27.427,53.53,486.78,181.62,12.7,-50.2
27.9654,77.26,413.29,144.51,12.7,-50.2
28.5037,12.15,370.77,119.09,12.7,-50.2
29.0419,9.21,955.46,76.2,12.7,-50.2
29.5802,362.85,613.49,582.03,12.7,-50.2
18.3766,-24.89,926.52,1529.38,102.6,50.2
18.9149,-14.21,775.78,691.67,102.6,50.2
19.4531,21.58,621.17,437.78,102.6,50.2
19.9916,-46.31,351.0,199.06,102.6,50.2
20.53,4.71,491.5,365.81,102.6,50.2
21.0686,7.58,487.64,504.5,102.6,50.2
21.6073,2.28,715.57,1145.97,102.6,50.2
22.1459,-5.4,782.89,1556.87,102.6,50.2
22.6845,-14.04,786.33,1322.39,102.6,50.2
23.223,-33.21,734.72,938.03,102.6,50.2
23.7618,-25.08,737.31,781.79,102.6,50.2
24.3008,-49.52,695.14,515.16,102.6,50.2
24.8393,33.09,579.79,158.99,102.6,50.2
25.3782,62.72,300.44,76.32,102.6,50.2
25.9171,-46.78,500.55,144.25,102.6,50.2
26.4558,-63.44,670.76,179.45,102.6,50.2
26.9943,3.54,1150.3,192.91,102.6,50.2
27.5327,28.21,547.09,100.45,102.6,50.2
28.0711,-34.19,416.18,107.96,102.6,50.2
28.6094,-50.4,492.36,104.25,102.6,50.2
29.1476,306.86,611.53,176.22,102.6,50.2
18.4819,48.01,950.11,1206.17,45.0,-45.0
19.0202,56.48,1011.51,881.46,45.0,-45.0
19.5584,41.71,785.43,649.83,45.0,-45.0
20.0969,-74.83,783.35,521.4,45.0,-45.0
20.6354,-65.56,770.13,569.77,45.0,-45.0
21.1741,-63.03,749.74,757.09,45.0,-45.0
21.7127,-51.72,777.13,1269.84,45.0,-45.0
22.2513,28.2,786.94,1693.98,45.0,-45.0
22.7898,10.56,832.87,1507.45,45.0,-45.0
23.3283,31.01,705.12,1099.44,45.0,-45.0
23.867,20.87,689.8,926.51,45.0,-45.0
24.4059,34.95,604.45,576.26,45.0,-45.0
24.9447,13.27,412.24,237.91,45.0,-45.0
25.4835,38.85,599.0,72.45,45.0,-45.0
26.0224,-14.38,447.32,106.43,45.0,-45.0
26.561,-72.97,270.7,147.19,45.0,-45.0
27.0996,109.78,313.06,131.31,45.0,-45.0
27.638,117.16,345.2,90.65,45.0,-45.0
28.1763,28.08,228.7,88.89,45.0,-45.0
28.7147,10.27,303.98,94.92,45.0,-45.0
29.2529,244.5,864.8,169.6,45.0,-45.0
18.5344,-65.17,882.3,1038.86,89.9,-45.0
19.0727,-18.78,1036.01,797.45,89.9,-45.0
19.611,-34.66,781.97,521.66,89.9,-45.0
20.1494,0.81,656.33,491.85,89.9,-45.0
20.6879,11.38,777.33,542.45,89.9,-45.0
21.2265,-3.37,753.97,771.98,89.9,-45.0
21.7652,5.47,771.37,1175.62,89.9,-45.0
22.3039,-30.44,816.1,1750.48,89.9,-45.0
22.8424,-13.85,832.72,1722.61,89.9,-45.0
23.3809,4.12,760.86,1370.26,89.9,-45.0
23.9196,-7.09,784.62,1029.09,89.9,-45.0
24.4585,-79.17,709.47,595.11,89.9,-45.0
24.9973,12.77,252.89,135.1,89.9,-45.0
25.5361,-22.68,118.0,67.65,89.9,-45.0
26.075,229.5,,,89.9,-45.0
26.6137,,1313.32,422.79,89.9,-45.0
27.1522,,555.79,739.53,89.9,-45.0
27.6906,,1018.43,45.35,89.9,-45.0
28.2289,-70.16,771.0,30.61,89.9,-45.0
28.7672,14.6,654.57,57.0,89.9,-45.0
29.3054,173.11,316.78,109.26,89.9,-45.0
18.587,37.84,903.13,1244.58,134.9,-45.0
18.6392,-62.94,812.88,1068.55,134.9,-45.0
18.6915,5.71,993.69,1127.74,134.9,-45.0
18.7437,-51.46,647.91,,134.9,-45.0
19.1252,-24.92,779.99,702.86,134.9,-45.0
19.1775,-26.03,836.06,633.67,134.9,-45.0
19.2297,54.68,1066.66,220.09,134.9,-45.0
19.2819,-98.27,1009.13,537.3,134.9,-45.0
19.6636,-9.58,796.69,477.47,134.9,-45.0
19.7158,13.36,742.76,448.42,134.9,-45.0
