times,winds,temps,intensity,angle1,angle2
18.4628,-3.99,1060.06,1504.31,102.5,0.0
19.0006,6.9,988.67,681.39,102.5,0.0
19.5385,17.19,928.06,679.25,102.5,0.0
20.0765,15.01,864.2,670.71,102.5,0.0
20.6144,-1.23,989.51,731.64,102.5,0.0
21.1524,2.64,883.53,724.39,102.5,0.0
21.6904,1.49,851.69,639.85,102.5,0.0
22.2284,-16.87,945.74,769.29,102.5,0.0
22.7664,5.67,827.48,742.01,102.5,0.0
23.3043,2.48,899.34,752.21,102.5,0.0
23.8423,10.33,789.14,741.75,102.5,0.0
24.3805,-5.99,802.97,788.66,102.5,0.0
24.9182,0.52,970.54,1152.34,102.5,0.0
25.4562,-4.69,870.59,872.98,102.5,0.0
25.9941,-3.13,913.05,688.4,102.5,0.0
26.5321,-9.18,852.56,427.7,102.5,0.0
27.0701,-3.15,802.07,281.97,102.5,0.0
27.6079,-6.97,688.18,179.01,102.5,0.0
28.1459,-28.79,674.11,135.08,102.5,0.0
28.684,-25.93,560.92,89.15,102.5,0.0
29.2218,-31.18,673.12,139.42,102.5,0.0
18.3572,15.32,960.98,1544.7,12.8,-50.2
18.8424,39.05,989.49,1355.17,12.8,-50.2
19.3804,48.76,892.02,1319.88,12.8,-50.2
19.9185,47.99,852.06,1684.02,12.8,-50.2
20.4563,47.4,871.32,1613.25,12.8,-50.2
20.9943,27.39,989.16,1671.11,12.8,-50.2
21.5323,4.21,809.87,1179.53,12.8,-50.2
22.0705,8.91,975.15,1288.96,12.8,-50.2
22.6082,3.72,972.18,1473.22,12.8,-50.2
23.1462,1.12,903.48,1208.78,12.8,-50.2
23.6843,5.09,915.95,956.01,12.8,-50.2
24.2221,-3.34,809.11,860.17,12.8,-50.2
24.76,6.01,903.41,1099.5,12.8,-50.2
25.298,25.0,822.62,1335.04,12.8,-50.2
25.8359,34.99,782.46,1065.73,12.8,-50.2
26.3739,34.3,912.82,837.79,12.8,-50.2
26.9119,13.58,775.22,548.69,12.8,-50.2
27.4498,-8.41,819.46,361.08,12.8,-50.2
27.9878,-58.0,720.0,199.15,12.8,-50.2
28.5257,-54.36,570.56,114.46,12.8,-50.2
29.0637,-66.16,536.61,103.2,12.8,-50.2
29.6016,3.65,823.66,574.29,12.8,-50.2
18.41,18.03,1020.32,1244.49,102.5,50.2
18.9481,79.9,950.47,673.97,102.5,50.2
19.486,97.7,925.29,702.22,102.5,50.2
20.024,111.63,884.76,846.22,102.5,50.2
20.5619,112.8,811.64,903.77,102.5,50.2
21.0999,100.96,855.34,911.07,102.5,50.2
21.6379,96.58,848.38,779.26,102.5,50.2
22.1759,92.81,782.17,849.41,102.5,50.2
22.7139,86.32,891.1,1058.23,102.5,50.2
23.2518,80.68,908.75,1026.0,102.5,50.2
23.7898,70.26,877.09,789.53,102.5,50.2
24.3279,77.15,830.67,748.62,102.5,50.2
24.8657,73.45,868.25,1108.76,102.5,50.2
25.4036,79.19,826.99,1056.93,102.5,50.2
25.9416,75.91,832.31,823.45,102.5,50.2
26.4796,64.36,739.84,502.59,102.5,50.2
27.0175,70.61,656.01,298.4,102.5,50.2
27.5554,41.24,713.43,242.81,102.5,50.2
28.0934,2.69,666.71,134.52,102.5,50.2
28.6314,8.35,489.45,115.4,102.5,50.2
29.1693,-14.93,741.21,204.5,102.5,50.2
29.7074,16.5,838.24,2650.2,102.5,50.2
18.5152,-4.78,923.61,1238.51,45.0,-45.0
