times,winds,temps,intensity,angle1,angle2
18.521,9.03,883.84,687.21,102.5,0.0
19.0593,13.29,756.49,297.04,102.5,0.0
19.5977,32.21,734.18,199.63,102.5,0.0
20.1362,16.52,491.31,165.72,102.5,0.0
20.6745,-2.07,665.9,183.93,102.5,0.0
21.2129,3.23,727.95,339.67,102.5,0.0
21.7516,11.28,640.01,774.33,102.5,0.0
22.2904,20.41,1070.44,346.25,102.5,0.0
22.8289,18.47,585.1,515.17,102.5,0.0
23.3677,17.39,652.73,435.86,102.5,0.0
23.9064,-0.64,699.97,432.93,102.5,0.0
24.4449,-5.03,601.78,298.94,102.5,0.0
24.9834,-8.39,547.79,267.87,102.5,0.0
25.5221,-8.16,493.74,232.39,102.5,0.0
26.0607,7.89,641.23,193.68,102.5,0.0
26.599,13.65,587.15,149.83,102.5,0.0
27.1374,22.55,514.44,148.82,102.5,0.0
27.6757,30.68,477.88,131.16,102.5,0.0
28.2141,56.89,576.23,120.38,102.5,0.0
28.7523,36.62,626.0,134.09,102.5,0.0
29.2906,17.9,737.9,206.75,102.5,0.0
18.4156,24.09,895.44,743.25,12.8,-50.2
18.9011,10.91,838.06,285.57,12.8,-50.2
19.4394,-6.23,698.72,213.87,12.8,-50.2
19.9779,48.79,415.41,175.1,12.8,-50.2
20.5163,-23.51,412.53,144.67,12.8,-50.2
21.0546,-35.26,649.69,181.73,12.8,-50.2
21.5932,0.26,732.23,764.42,12.8,-50.2
22.1319,26.32,724.44,866.64,12.8,-50.2
22.6707,23.28,776.61,799.65,12.8,-50.2
23.2094,-9.37,679.66,365.84,12.8,-50.2
23.7482,-5.51,556.38,391.53,12.8,-50.2
24.2866,26.21,518.49,288.2,12.8,-50.2
24.8251,48.25,547.0,240.04,12.8,-50.2
25.3638,-21.93,336.43,174.64,12.8,-50.2
25.9024,-27.85,676.02,249.33,12.8,-50.2
26.4408,-8.03,575.74,140.57,12.8,-50.2
26.9792,6.2,468.67,117.56,12.8,-50.2
27.5175,-23.13,511.07,120.16,12.8,-50.2
28.0559,13.41,590.03,119.33,12.8,-50.2
28.5941,27.22,664.9,159.53,12.8,-50.2
29.1324,11.52,682.86,183.27,12.8,-50.2
29.6706,24.83,646.47,391.15,12.8,-50.2
18.4685,15.07,918.18,620.28,102.4,50.2
19.0068,8.08,798.53,250.92,102.4,50.2
19.5451,36.9,766.58,191.56,102.4,50.2
20.0836,-72.25,535.61,165.31,102.4,50.2
20.622,12.7,611.37,143.31,102.4,50.2
21.1603,-13.5,599.22,225.14,102.4,50.2
21.699,59.08,739.26,754.98,102.4,50.2
22.2378,99.02,753.09,1038.29,102.4,50.2
22.7764,67.7,649.21,572.41,102.4,50.2
23.3152,8.49,694.93,391.3,102.4,50.2
23.8538,53.61,650.2,356.21,102.4,50.2
24.3924,4.88,572.96,258.09,102.4,50.2
24.9309,-20.61,493.49,194.69,102.4,50.2
25.4695,17.41,409.27,185.5,102.4,50.2
26.0081,87.86,576.77,266.65,102.4,50.2
26.5465,69.63,616.83,217.26,102.4,50.2
27.0849,83.41,624.39,183.19,102.4,50.2
27.6232,74.53,619.49,175.94,102.4,50.2
28.1615,87.64,524.04,202.81,102.4,50.2
28.6998,37.1,658.82,153.58,102.4,50.2
29.238,33.57,641.53,208.62,102.4,50.2
18.5737,19.15,929.73,501.06,45.0,-45.0
19.112,4.63,740.61,261.07,45.0,-45.0
19.6504,30.14,590.35,149.77,45.0,-45.0
20.1889,0.85,671.81,156.69,45.0,-45.0
20.7273,10.22,592.47,134.57,45.0,-45.0
21.2656,-5.08,764.28,330.53,45.0,-45.0
21.8044,-17.32,772.62,1034.09,45.0,-45.0
22.343,-17.38,757.37,945.71,45.0,-45.0
22.8817,7.32,697.82,506.77,45.0,-45.0
23.4204,9.71,693.02,400.96,45.0,-45.0
23.9591,-39.53,651.93,375.03,45.0,-45.0
24.4976,7.11,547.78,270.15,45.0,-45.0
25.0362,8.21,534.57,203.1,45.0,-45.0
25.5748,-51.23,527.68,210.56,45.0,-45.0
