times,winds,temps,intensity,angle1,angle2
18.4479,-14.77,900.13,659.48,102.6,-0.0
18.9881,-6.95,820.09,246.45,102.6,-0.0
19.5287,-34.66,767.79,128.06,102.6,-0.0
20.0696,-9.73,706.23,112.52,102.6,-0.0
20.6097,4.95,731.74,103.17,102.6,-0.0
21.1498,11.0,865.19,207.83,102.6,-0.0
21.6905,10.28,798.12,262.81,102.6,-0.0
22.2303,18.5,839.96,375.84,102.6,-0.0
22.7705,-1.9,778.22,460.75,102.6,-0.0
23.3111,-2.06,788.73,685.84,102.6,-0.0
23.8512,6.56,785.53,886.22,102.6,-0.0
24.3911,-2.01,792.84,863.6,102.6,-0.0
24.9307,0.46,785.57,703.49,102.6,-0.0
25.4707,-2.64,802.55,600.14,102.6,-0.0
26.0105,13.2,741.86,400.82,102.6,-0.0
26.5501,-2.58,829.68,247.67,102.6,-0.0
18.3421,-6.81,1079.12,824.45,12.8,-50.2
18.8293,-6.12,794.94,276.75,12.8,-50.2
19.37,57.87,708.65,121.63,12.8,-50.2
19.9107,1.8,965.66,87.47,12.8,-50.2
20.4512,185.21,462.03,55.26,12.8,-50.2
20.9909,-26.69,848.64,146.8,12.8,-50.2
21.5318,-4.23,716.89,168.26,12.8,-50.2
22.0717,8.14,833.01,303.67,12.8,-50.2
22.6116,3.51,644.72,313.36,12.8,-50.2
23.1525,-0.45,900.45,528.91,12.8,-50.2
23.6924,-4.25,832.42,648.58,12.8,-50.2
24.2325,7.22,815.74,735.79,12.8,-50.2
24.7721,-1.1,804.1,605.07,12.8,-50.2
25.3119,-7.96,753.04,594.47,12.8,-50.2
25.8516,1.25,659.0,351.72,12.8,-50.2
26.3913,14.4,685.6,228.83,12.8,-50.2
18.3952,-20.11,921.06,649.5,102.6,50.2
18.9355,-14.71,787.94,192.89,102.6,50.2
19.476,-24.39,681.04,101.73,102.6,50.2
20.0168,28.82,843.46,106.88,102.6,50.2
20.5572,7.71,307.6,60.57,102.6,50.2
21.097,1.08,893.46,180.52,102.6,50.2
21.6376,-1.59,862.45,184.51,102.6,50.2
22.1777,8.56,952.89,285.16,102.6,50.2
22.7176,-5.21,808.19,349.1,102.6,50.2
23.2585,-19.69,900.07,502.14,102.6,50.2
23.7985,-6.25,871.1,672.54,102.6,50.2
24.3385,1.23,819.27,740.41,102.6,50.2
24.8781,0.84,753.95,570.12,102.6,50.2
25.418,14.62,738.12,496.91,102.6,50.2
25.9577,18.25,737.96,300.58,102.6,50.2
26.4973,-16.71,602.2,188.86,102.6,50.2
18.5007,6.82,1281.28,564.53,45.1,-45.0
19.041,-11.69,880.67,205.14,45.1,-45.0
19.5816,-28.03,735.78,102.53,45.1,-45.0
20.1225,-6.57,470.68,27.47,45.1,-45.0
20.6626,30.04,649.34,98.19,45.1,-45.0
21.2029,-21.33,723.01,164.95,45.1,-45.0
21.7434,-12.61,853.47,197.7,45.1,-45.0
22.2833,16.19,754.52,282.9,45.1,-45.0
22.8231,1.2,833.26,387.58,45.1,-45.0
23.364,6.49,804.83,623.78,45.1,-45.0
23.9041,5.14,857.39,866.62,45.1,-45.0
24.444,4.73,858.18,748.9,45.1,-45.0
24.9836,-1.9,836.65,602.5,45.1,-45.0
25.5235,-10.0,771.52,478.82,45.1,-45.0
26.0632,-1.21,738.58,312.47,45.1,-45.0
26.603,-52.54,635.38,169.58,45.1,-45.0
18.5535,-6.08,1335.44,354.79,89.9,-45.0
19.0939,13.58,785.27,164.26,89.9,-45.0
19.6347,0.8,696.57,100.73,89.9,-45.0
20.1752,-11.03,542.63,72.72,89.9,-45.0
20.7152,35.88,453.08,108.36,89.9,-45.0
21.2556,-15.14,742.88,178.72,89.9,-45.0
21.796,17.36,867.77,252.21,89.9,-45.0
22.336,-3.7,908.37,309.34,89.9,-45.0
22.8758,-6.01,830.79,414.5,89.9,-45.0
23.4167,0.03,833.71,647.66,89.9,-45.0
23.9569,3.51,803.15,794.25,89.9,-45.0
24.4967,0.96,871.29,749.51,89.9,-45.0
25.0363,1.66,798.73,619.61,89.9,-45.0
25.5762,3.74,751.88,444.39,89.9,-45.0
26.1159,3.15,629.43,296.7,89.9,-45.0
26.6556,-7.39,525.85,150.18,89.9,-45.0
18.6062,-10.99,942.36,449.91,134.8,-45.0
18.6587,-11.19,1022.95,424.7,134.8,-45.0
18.7111,12.51,1049.33,,134.8,-45.0
18.7634,-18.62,1091.74,306.62,134.8,-45.0
19.1469,-0.38,854.76,163.34,134.8,-45.0
19.1993,38.9,756.8,154.82,134.8,-45.0
19.2516,105.88,751.5,138.49,134.8,-45.0
19.304,33.36,453.34,123.16,134.8,-45.0
19.6873,34.27,643.81,109.16,134.8,-45.0
19.7399,43.09,608.77,78.65,134.8,-45.0
19.7922,80.76,421.96,92.04,134.8,-45.0
19.8447,42.0,375.12,95.1,134.8,-45.0
20.228,-9.44,346.02,82.4,134.8,-45.0
20.2805,70.94,366.14,62.43,134.8,-45.0
20.3329,-49.91,794.08,67.56,134.8,-45.0
20.3852,-7.94,303.0,38.03,134.8,-45.0
20.7678,33.06,631.73,114.26,134.8,-45.0
20.8203,7.8,427.56,117.45,134.8,-45.0
20.8727,28.55,710.38,132.27,134.8,-45.0
20.9251,-22.48,515.11,126.12,134.8,-45.0
21.3085,36.43,747.61,183.56,134.8,-45.0
21.3609,-34.54,918.79,190.46,134.8,-45.0
21.4132,9.75,638.78,160.09,134.8,-45.0
