times,winds,temps,intensity,angle1,angle2
18.4922,65.25,1124.22,2145.07,102.5,0.0
19.0307,65.61,938.54,1135.92,102.5,0.0
19.5689,65.34,931.82,1154.66,102.5,0.0
20.1073,63.29,949.41,736.44,102.5,0.0
20.6457,15.16,643.85,96.78,102.5,0.0
21.1838,67.71,611.58,144.28,102.5,0.0
21.7221,49.46,381.44,36.16,102.5,0.0
22.2604,-23.52,326.87,34.17,102.5,0.0
22.7987,-95.77,404.98,43.9,102.5,0.0
23.337,-12.93,584.91,52.97,102.5,0.0
23.8752,107.94,267.44,33.58,102.5,0.0
24.4135,-17.72,401.65,62.98,102.5,0.0
24.9518,32.85,350.68,44.51,102.5,0.0
25.4901,169.85,949.03,31.39,102.5,0.0
26.0285,182.79,259.83,19.52,102.5,0.0
26.5666,72.29,396.64,20.53,102.5,0.0
27.1049,-32.96,568.63,17.14,102.5,0.0
27.6431,144.37,275.55,19.42,102.5,0.0
28.1814,104.84,519.51,23.88,102.5,0.0
28.7197,62.36,487.0,25.67,102.5,0.0
29.2581,-69.59,846.68,136.03,102.5,0.0
18.3867,70.23,1057.68,2932.71,12.8,-50.2
18.8723,89.24,1056.38,1637.32,12.8,-50.2
19.4107,81.99,934.59,1639.98,12.8,-50.2
19.949,89.49,976.95,1596.12,12.8,-50.2
20.4873,55.48,652.34,228.59,12.8,-50.2
21.0256,83.56,412.1,142.63,12.8,-50.2
21.5638,69.64,853.95,153.09,12.8,-50.2
22.1022,-26.95,261.73,37.03,12.8,-50.2
22.6405,-24.66,321.93,65.03,12.8,-50.2
23.1787,8.2,525.91,72.39,12.8,-50.2
23.717,29.49,438.54,77.97,12.8,-50.2
24.2553,75.46,450.02,51.45,12.8,-50.2
24.7936,62.05,506.46,84.14,12.8,-50.2
25.3318,94.75,509.96,52.33,12.8,-50.2
25.8701,-22.72,361.76,29.96,12.8,-50.2
26.4086,-22.32,379.34,29.99,12.8,-50.2
26.9466,87.87,659.06,23.75,12.8,-50.2
27.4849,21.02,623.1,23.19,12.8,-50.2
28.0232,46.27,990.0,26.95,12.8,-50.2
28.5615,32.71,548.92,30.94,12.8,-50.2
29.0998,-15.4,592.48,54.23,12.8,-50.2
29.6381,60.88,872.29,944.89,12.8,-50.2
18.4396,78.23,1083.33,2062.2,102.5,50.2
18.978,85.49,939.42,1260.68,102.5,50.2
19.5164,89.48,1011.67,1382.24,102.5,50.2
20.0548,87.06,809.61,1054.52,102.5,50.2
20.593,102.27,898.76,215.03,102.5,50.2
21.1313,91.68,757.89,190.7,102.5,50.2
21.6695,114.3,575.32,89.76,102.5,50.2
22.2079,30.39,414.44,37.8,102.5,50.2
22.7462,-9.85,520.01,67.81,102.5,50.2
23.2846,42.97,356.18,67.75,102.5,50.2
23.8227,33.31,410.47,46.65,102.5,50.2
24.361,-5.4,737.22,59.87,102.5,50.2
24.8993,70.5,407.72,50.22,102.5,50.2
25.4375,28.57,431.6,40.43,102.5,50.2
