times,winds,temps,intensity,angle1,angle2
18.4581,-10.33,1038.06,1660.0,102.5,0.0
18.9965,9.15,1000.49,511.42,102.5,0.0
19.5348,25.08,820.12,285.47,102.5,0.0
20.0733,33.24,850.25,300.08,102.5,0.0
20.6115,20.94,941.16,521.91,102.5,0.0
21.1498,39.95,919.15,1106.97,102.5,0.0
21.6883,36.85,959.9,1690.1,102.5,0.0
22.2268,47.25,1149.26,1551.44,102.5,0.0
22.7652,39.06,899.11,1072.63,102.5,0.0
23.3035,-22.26,873.76,,102.5,0.0
23.8419,24.5,883.44,1014.43,102.5,0.0
24.3803,48.71,855.21,858.84,102.5,0.0
24.9188,32.87,913.96,529.17,102.5,0.0
25.4571,58.32,743.87,315.32,102.5,0.0
25.9956,1.37,251.43,143.14,102.5,0.0
26.534,53.3,616.73,204.19,102.5,0.0
27.0723,55.14,553.9,181.89,102.5,0.0
27.6107,-16.62,654.5,154.04,102.5,0.0
28.149,64.11,651.57,159.07,102.5,0.0
28.6877,23.57,812.77,162.74,102.5,0.0
29.2261,40.45,739.44,216.78,102.5,0.0
18.3526,48.79,1103.25,2864.33,12.7,-50.2
18.8382,89.34,1020.37,,12.7,-50.2
19.3765,51.66,949.74,1003.19,12.7,-50.2
19.9148,38.05,878.26,,12.7,-50.2
20.4531,104.09,875.85,1157.09,12.7,-50.2
20.9915,29.55,958.41,2075.52,12.7,-50.2
21.53,20.3,981.48,2348.8,12.7,-50.2
22.0686,25.47,852.83,1797.64,12.7,-50.2
22.6069,45.81,842.72,1635.02,12.7,-50.2
23.1452,33.5,850.3,1331.94,12.7,-50.2
23.6836,29.35,925.71,1234.11,12.7,-50.2
24.2221,44.74,841.95,1146.96,12.7,-50.2
24.7605,34.41,931.72,886.03,12.7,-50.2
25.2989,43.06,858.34,484.67,12.7,-50.2
25.8373,7.25,792.21,363.37,12.7,-50.2
26.3757,34.15,725.22,342.25,12.7,-50.2
26.914,25.67,612.29,306.3,12.7,-50.2
27.4524,4.9,741.66,261.29,12.7,-50.2
27.9908,54.45,690.43,230.36,12.7,-50.2
28.5292,29.67,687.19,189.68,12.7,-50.2
29.0677,-0.44,773.69,223.13,12.7,-50.2
29.6063,55.42,803.91,835.92,12.7,-50.2
18.4055,70.89,983.71,1488.0,102.5,50.2
18.9439,87.13,938.91,589.1,102.5,50.2
19.4823,88.83,838.11,310.08,102.5,50.2
20.0205,66.17,908.75,311.21,102.5,50.2
20.5588,79.86,949.15,609.89,102.5,50.2
21.0972,81.16,927.67,1384.63,102.5,50.2
21.6358,73.21,992.8,2206.39,102.5,50.2
22.1743,61.47,956.27,1618.54,102.5,50.2
22.7127,80.76,882.44,1205.84,102.5,50.2
23.251,61.49,848.12,1109.97,102.5,50.2
23.7893,50.51,800.14,1067.97,102.5,50.2
24.328,64.69,851.42,891.12,102.5,50.2
24.8662,62.34,858.49,632.44,102.5,50.2
25.4046,66.04,778.77,387.79,102.5,50.2
25.9431,70.21,800.0,245.56,102.5,50.2
