times,winds,temps,intensity,angle1,angle2
18.4388,21.65,984.76,1126.08,102.6,-0.0
18.9786,19.16,887.94,331.63,102.6,-0.0
19.5179,1.94,586.82,183.99,102.6,-0.0
20.0575,54.93,354.68,185.7,102.6,-0.0
20.5977,-11.51,650.3,172.7,102.6,-0.0
21.1376,2.09,527.22,140.88,102.6,-0.0
21.6777,1.06,661.95,206.19,102.6,-0.0
22.2175,7.34,794.75,432.6,102.6,-0.0
22.7575,5.17,821.73,875.76,102.6,-0.0
23.2975,4.34,844.76,1302.44,102.6,-0.0
23.8379,11.76,808.19,1289.75,102.6,-0.0
24.378,12.06,782.54,936.16,102.6,-0.0
24.9181,23.43,734.3,609.78,102.6,-0.0
25.4581,-15.45,627.16,470.25,102.6,-0.0
25.9982,-35.27,720.44,414.48,102.6,-0.0
26.5379,-23.41,497.43,304.73,102.6,-0.0
27.078,-1.08,670.53,185.59,102.6,-0.0
27.6179,5.89,506.96,113.65,102.6,-0.0
28.1576,92.16,516.42,37.0,102.6,-0.0
28.6979,111.99,,30.1,102.6,-0.0
29.2375,-51.13,585.19,71.72,102.6,-0.0
18.3331,16.9,941.91,1011.92,12.8,-50.2
18.8197,17.97,880.45,351.26,12.8,-50.2
19.3594,40.69,587.32,167.32,12.8,-50.2
19.8987,41.15,796.07,494.02,12.8,-50.2
20.4388,19.66,662.16,364.04,12.8,-50.2
20.9788,23.14,813.48,498.81,12.8,-50.2
21.5187,30.96,785.7,564.63,12.8,-50.2
22.0588,-2.44,818.33,751.85,12.8,-50.2
22.5988,-10.64,804.33,1275.93,12.8,-50.2
23.1387,-12.45,798.18,1484.29,12.8,-50.2
23.6789,-23.24,765.39,1310.24,12.8,-50.2
24.2192,-19.82,752.74,1160.44,12.8,-50.2
24.7592,-27.7,788.18,848.96,12.8,-50.2
25.2995,-41.64,759.16,609.64,12.8,-50.2
25.8394,-51.77,692.55,406.94,12.8,-50.2
26.3794,-29.68,736.19,349.76,12.8,-50.2
26.9193,-34.38,601.14,172.77,12.8,-50.2
27.459,-48.87,369.69,82.45,12.8,-50.2
27.999,142.73,692.0,18.88,12.8,-50.2
28.5389,46.2,157.99,5.31,12.8,-50.2
29.079,232.13,1253.0,31.55,12.8,-50.2
29.6189,-0.27,715.2,467.63,12.8,-50.2
18.3861,16.14,994.44,843.57,102.6,50.2
18.9259,32.23,741.76,324.65,102.6,50.2
19.4653,16.91,695.47,168.92,102.6,50.2
20.0049,67.0,661.23,270.15,102.6,50.2
20.545,72.31,639.3,264.83,102.6,50.2
21.0849,108.8,658.96,260.45,102.6,50.2
21.6248,48.37,678.14,259.71,102.6,50.2
22.1648,63.64,676.35,418.25,102.6,50.2
22.7049,59.06,653.74,801.2,102.6,50.2
23.2447,53.12,568.87,864.46,102.6,50.2
23.785,121.13,298.93,614.69,102.6,50.2
24.3254,204.2,383.35,489.39,102.6,50.2
24.8654,63.16,518.58,501.22,102.6,50.2
25.4055,30.22,633.79,464.5,102.6,50.2
25.9456,-2.8,664.81,318.76,102.6,50.2
26.4853,-6.86,692.49,278.96,102.6,50.2
27.0253,-17.2,391.69,134.09,102.6,50.2
27.565,48.08,279.04,62.85,102.6,50.2
28.1048,42.79,763.36,35.73,102.6,50.2
28.645,10.83,640.0,20.32,102.6,50.2
29.1849,76.76,357.14,41.45,102.6,50.2
18.4916,13.8,994.78,768.66,44.9,-45.0
19.0315,21.28,767.34,286.65,44.9,-45.0
19.5707,-36.43,690.41,156.07,44.9,-45.0
20.1104,7.29,684.67,331.33,44.9,-45.0
20.6505,12.44,582.83,253.98,44.9,-45.0
21.1903,-61.73,705.27,198.55,44.9,-45.0
21.7304,-36.84,749.08,479.45,44.9,-45.0
22.2705,-36.13,833.54,718.51,44.9,-45.0
22.8104,-34.51,850.76,1315.69,44.9,-45.0
23.3505,-46.14,791.68,1492.1,44.9,-45.0
23.8907,-40.5,797.74,1344.28,44.9,-45.0
24.4309,-47.12,766.74,1044.08,44.9,-45.0
24.971,-47.27,771.92,708.76,44.9,-45.0
25.511,-57.11,803.59,577.61,44.9,-45.0
26.051,-29.27,668.84,340.33,44.9,-45.0
26.5908,-24.21,640.68,272.44,44.9,-45.0
27.1308,-22.2,440.05,132.51,44.9,-45.0
27.6706,-3.34,260.18,63.93,44.9,-45.0
28.2104,105.8,556.0,26.32,44.9,-45.0
28.7506,233.49,303.73,18.23,44.9,-45.0
29.2905,-74.75,564.65,80.93,44.9,-45.0
18.5442,19.04,854.05,653.92,89.9,-45.0
19.084,0.54,773.63,240.85,89.9,-45.0
19.6233,11.67,529.53,181.07,89.9,-45.0
20.163,-27.63,637.93,212.76,89.9,-45.0
20.7032,-74.19,793.09,204.64,89.9,-45.0
21.2432,-82.95,605.22,208.49,89.9,-45.0
21.7831,-85.67,779.03,297.7,89.9,-45.0
22.3231,-84.22,737.69,574.15,89.9,-45.0
22.863,-67.61,831.41,1156.9,89.9,-45.0
23.4033,-57.9,820.09,1725.93,89.9,-45.0
23.9435,-54.88,827.79,1656.1,89.9,-45.0
24.4835,-56.13,822.87,1159.18,89.9,-45.0
25.0237,-51.82,807.9,788.13,89.9,-45.0
25.5637,-39.79,758.19,474.61,89.9,-45.0
26.1037,-38.35,782.44,325.44,89.9,-45.0
26.6435,12.34,601.54,256.82,89.9,-45.0
27.1837,0.14,463.42,121.12,89.9,-45.0
27.7233,-3.21,214.3,61.56,89.9,-45.0
28.2632,-41.47,406.23,25.74,89.9,-45.0
28.8034,-11.04,1200.0,22.72,89.9,-45.0
29.3431,-75.83,280.18,71.63,89.9,-45.0
18.5969,20.39,644.08,480.78,135.0,-45.0
18.6492,15.61,949.8,569.6,135.0,-45.0
18.7015,17.7,857.49,430.35,135.0,-45.0
18.7538,13.3,812.23,336.07,135.0,-45.0
19.1369,21.34,721.75,211.94,135.0,-45.0
19.1891,33.82,785.32,209.31,135.0,-45.0
19.2414,20.04,663.41,184.37,135.0,-45.0
