times,winds,temps,intensity,angle1,angle2
18.4631,-9.45,1008.6,1215.89,102.5,-0.0
19.0016,-20.44,779.2,229.22,102.5,-0.0
19.54,-31.73,501.63,88.04,102.5,-0.0
20.0784,7.2,361.54,53.17,102.5,-0.0
20.6168,-2.65,582.79,83.47,102.5,-0.0
21.1554,-33.81,784.46,215.15,102.5,-0.0
21.6937,0.52,918.83,728.91,102.5,-0.0
22.2323,3.87,911.79,1275.28,102.5,-0.0
22.7708,5.17,925.94,1441.23,102.5,-0.0
23.3092,-6.56,886.36,1340.65,102.5,-0.0
23.8476,-6.52,976.63,1122.81,102.5,-0.0
24.3861,-0.81,905.98,796.01,102.5,-0.0
24.9246,3.72,845.78,652.42,102.5,-0.0
25.4631,9.89,838.36,705.05,102.5,-0.0
26.0016,0.07,832.9,569.6,102.5,-0.0
26.54,15.43,837.68,535.9,102.5,-0.0
27.0785,13.2,788.9,513.73,102.5,-0.0
27.6168,1.16,749.07,273.66,102.5,-0.0
28.1552,-17.59,707.49,203.61,102.5,-0.0
28.6935,0.63,762.04,185.05,102.5,-0.0
29.2319,-25.86,834.06,286.83,102.5,-0.0
18.3577,27.12,1004.38,2194.65,12.7,-50.2
18.8433,36.49,942.62,558.12,12.7,-50.2
19.3818,47.74,775.95,295.96,12.7,-50.2
19.9201,18.43,668.25,103.01,12.7,-50.2
20.4585,-23.14,365.54,60.08,12.7,-50.2
20.997,-43.06,704.76,112.0,12.7,-50.2
21.5355,-16.94,935.68,542.79,12.7,-50.2
22.074,-23.34,949.63,1456.73,12.7,-50.2
22.6125,-13.37,968.62,2142.96,12.7,-50.2
23.1509,-8.47,901.39,2142.9,12.7,-50.2
23.6894,-3.28,966.21,1895.44,12.7,-50.2
24.2278,6.29,929.3,650.16,12.7,-50.2
24.7663,9.26,881.52,545.21,12.7,-50.2
25.3048,7.11,837.13,555.88,12.7,-50.2
25.8433,-2.26,913.09,478.08,12.7,-50.2
26.3817,0.22,959.58,544.34,12.7,-50.2
26.9202,8.47,820.5,491.25,12.7,-50.2
27.4586,26.98,872.04,425.98,12.7,-50.2
27.9969,-4.06,790.0,252.54,12.7,-50.2
28.5352,-9.33,706.21,211.97,12.7,-50.2
29.0736,-26.64,851.86,257.78,12.7,-50.2
29.612,-15.93,948.07,1013.16,12.7,-50.2
18.4106,59.75,1065.04,1165.54,102.5,50.2
18.949,61.45,777.24,304.6,102.5,50.2
19.4874,38.08,488.16,101.75,102.5,50.2
20.0258,-79.13,436.68,59.93,102.5,50.2
20.5643,-92.67,472.77,56.65,102.5,50.2
21.1027,-47.36,744.15,145.69,102.5,50.2
21.6412,4.46,814.12,616.43,102.5,50.2
22.1799,69.89,964.99,1598.01,102.5,50.2
22.7182,66.77,958.65,1837.29,102.5,50.2
23.2569,57.49,985.65,1663.78,102.5,50.2
23.7951,56.4,940.48,1268.81,102.5,50.2
24.3335,4.23,964.59,700.9,102.5,50.2
24.8721,10.68,979.74,575.76,102.5,50.2
25.4105,28.49,855.5,470.9,102.5,50.2
25.949,1.12,922.63,464.28,102.5,50.2
26.4874,23.99,847.19,455.73,102.5,50.2
27.0259,25.15,843.72,464.91,102.5,50.2
27.5643,62.12,796.9,344.1,102.5,50.2
28.1026,55.08,649.02,220.41,102.5,50.2
28.641,41.24,739.67,189.26,102.5,50.2
29.1793,-6.64,816.15,370.23,102.5,50.2
18.5158,-14.12,1006.76,1576.28,45.1,-45.0
19.0543,-44.82,826.49,315.87,45.1,-45.0
19.5927,-13.38,603.72,161.16,45.1,-45.0
20.1311,-11.06,455.41,63.65,45.1,-45.0
20.6696,-54.14,488.8,69.07,45.1,-45.0
21.208,-12.35,835.79,241.86,45.1,-45.0
21.7464,-7.29,948.98,751.49,45.1,-45.0
22.285,-52.56,950.96,1674.76,45.1,-45.0
22.8235,-38.51,930.32,1930.9,45.1,-45.0
23.362,-40.88,1040.9,1843.03,45.1,-45.0
23.9003,-25.27,967.82,1421.62,45.1,-45.0
24.4388,-5.8,881.2,659.08,45.1,-45.0
24.9773,10.42,884.18,645.94,45.1,-45.0
25.5158,1.32,834.49,542.06,45.1,-45.0
26.0543,-2.62,871.84,524.31,45.1,-45.0
26.5927,5.18,903.0,514.8,45.1,-45.0
27.1312,2.21,798.91,499.71,45.1,-45.0
27.6695,-11.54,794.47,336.08,45.1,-45.0
28.2079,-38.73,680.34,266.51,45.1,-45.0
28.7462,-44.97,729.03,189.17,45.1,-45.0
29.2846,-37.48,777.96,251.46,45.1,-45.0
18.5686,-62.39,1034.18,1708.78,89.9,-45.0
19.1068,-94.28,877.89,307.19,89.9,-45.0
19.6452,122.21,731.61,114.39,89.9,-45.0
20.1837,-18.31,270.34,49.91,89.9,-45.0
20.7221,-15.05,583.2,62.12,89.9,-45.0
21.2606,-17.26,765.0,250.3,89.9,-45.0
21.799,-23.03,904.99,885.0,89.9,-45.0
22.3376,-70.01,874.06,1344.13,89.9,-45.0
22.876,-63.99,993.37,1694.37,89.9,-45.0
23.4145,-62.19,912.97,1621.68,89.9,-45.0
23.9529,-41.64,994.7,1371.35,89.9,-45.0
24.4914,2.87,1038.01,658.99,89.9,-45.0
25.0299,-1.69,857.28,663.24,89.9,-45.0
25.5684,1.45,919.51,622.5,89.9,-45.0
26.1068,-4.25,888.3,453.59,89.9,-45.0
26.6453,14.45,830.71,449.0,89.9,-45.0
27.1837,-6.95,781.84,435.09,89.9,-45.0
27.7221,-41.43,734.65,296.89,89.9,-45.0
28.2604,-23.06,765.07,202.58,89.9,-45.0
28.7987,-37.18,749.61,193.26,89.9,-45.0
29.3372,-40.6,846.78,277.16,89.9,-45.0
18.6209,-80.26,1006.02,1367.96,135.0,-45.0
18.6732,-90.0,1046.26,1144.6,135.0,-45.0
18.7254,101.77,1087.03,982.17,135.0,-45.0
18.7776,-98.07,1093.33,820.5,135.0,-45.0
19.1594,119.11,808.28,241.46,135.0,-45.0
19.2116,143.73,771.32,220.18,135.0,-45.0
19.2638,134.73,823.63,201.53,135.0,-45.0
19.3161,120.17,745.85,184.33,135.0,-45.0
19.6979,-97.1,506.41,94.96,135.0,-45.0
19.7503,-72.76,451.36,80.96,135.0,-45.0
19.8023,-91.4,369.15,78.73,135.0,-45.0
19.8545,-90.44,343.49,72.78,135.0,-45.0
20.2362,-83.04,423.12,41.93,135.0,-45.0
20.2884,-88.53,511.73,41.72,135.0,-45.0
20.3406,-8.84,313.84,40.19,135.0,-45.0
20.3929,3.01,412.72,55.7,135.0,-45.0
20.7747,29.7,747.1,69.76,135.0,-45.0
20.8269,28.74,356.59,67.14,135.0,-45.0
20.8791,-62.77,486.43,78.21,135.0,-45.0
20.9314,-68.37,703.73,108.63,135.0,-45.0
21.3131,-10.63,813.71,267.67,135.0,-45.0
21.3653,-19.69,829.75,312.63,135.0,-45.0
21.4176,-16.92,852.9,373.32,135.0,-45.0
21.4698,-32.23,891.82,396.99,135.0,-45.0
21.8516,-17.78,988.26,991.97,135.0,-45.0
21.9038,-20.33,942.43,1021.49,135.0,-45.0
21.9561,-14.43,897.62,1074.78,135.0,-45.0
22.0083,-22.89,1013.3,1195.97,135.0,-45.0
22.3901,-48.5,872.29,1410.88,135.0,-45.0
22.4424,-50.72,965.45,1401.0,135.0,-45.0
22.4946,-56.81,920.75,1369.54,135.0,-45.0
22.5469,-48.39,924.58,1373.17,135.0,-45.0
22.9286,-55.25,887.91,1498.1,135.0,-45.0
22.9808,-60.9,960.36,1514.61,135.0,-45.0
23.0331,-57.98,901.34,1466.57,135.0,-45.0
