times,winds,temps,intensity,angle1,angle2
18.4317,61.76,1040.33,1263.91,102.6,-0.0
18.9696,49.47,953.42,421.39,102.6,-0.0
19.5076,96.95,775.37,270.85,102.6,-0.0
20.0455,66.13,647.42,252.44,102.6,-0.0
20.5834,39.74,805.39,382.67,102.6,-0.0
21.1215,63.17,798.15,781.5,102.6,-0.0
21.6595,57.95,816.67,1116.44,102.6,-0.0
22.1976,51.71,781.15,1069.25,102.6,-0.0
22.7359,41.77,640.4,719.45,102.6,-0.0
23.2742,51.5,701.84,634.65,102.6,-0.0
23.8126,43.23,678.96,429.72,102.6,-0.0
24.3509,8.94,597.82,348.73,102.6,-0.0
24.8894,26.74,471.26,176.14,102.6,-0.0
25.4277,-4.79,370.77,130.68,102.6,-0.0
25.966,-34.18,288.39,121.0,102.6,-0.0
26.5044,-10.75,441.05,59.59,102.6,-0.0
27.0423,156.52,236.05,59.76,102.6,-0.0
27.5803,36.36,496.77,55.6,102.6,-0.0
28.1183,-83.33,367.12,31.96,102.6,-0.0
28.6563,-72.62,752.36,37.7,102.6,-0.0
29.1942,69.0,362.83,66.73,102.6,-0.0
18.3264,65.64,920.5,1296.64,12.7,-50.2
18.8115,60.26,899.59,371.95,12.7,-50.2
19.3497,81.51,649.82,249.57,12.7,-50.2
19.8873,96.92,764.22,408.54,12.7,-50.2
20.4252,82.89,788.2,924.42,12.7,-50.2
20.9632,62.07,821.34,1336.15,12.7,-50.2
21.5012,61.39,805.02,1586.07,12.7,-50.2
22.0394,51.81,769.94,1479.95,12.7,-50.2
22.5776,46.1,770.98,982.65,12.7,-50.2
23.1159,48.49,670.71,451.72,12.7,-50.2
23.6543,45.0,590.19,344.72,12.7,-50.2
24.1926,56.66,507.6,267.36,12.7,-50.2
24.7311,-27.74,486.31,125.15,12.7,-50.2
25.2695,-1.96,424.11,100.01,12.7,-50.2
25.8078,20.71,548.82,59.4,12.7,-50.2
26.346,24.41,636.62,55.54,12.7,-50.2
26.884,98.77,264.18,62.96,12.7,-50.2
27.4222,103.77,246.5,49.89,12.7,-50.2
27.9602,15.89,209.08,32.92,12.7,-50.2
