times,winds,temps,intensity,angle1,angle2
18.5083,-7.09,915.01,1519.46,102.6,-0.0
19.0469,-9.04,872.57,886.89,102.6,-0.0
19.5852,-15.12,806.91,639.33,102.6,-0.0
20.1234,-10.98,683.1,475.07,102.6,-0.0
20.6617,5.66,600.84,481.07,102.6,-0.0
21.2002,-78.7,1084.34,239.26,102.6,-0.0
21.7385,79.36,468.19,335.55,102.6,-0.0
22.2769,-21.49,638.1,675.56,102.6,-0.0
22.8153,-10.84,694.67,741.67,102.6,-0.0
23.3537,-4.25,702.69,805.94,102.6,-0.0
23.8925,1.56,689.0,525.01,102.6,-0.0
24.4306,-1.8,681.82,524.28,102.6,-0.0
24.969,5.93,717.74,560.08,102.6,-0.0
25.5075,-1.29,690.15,375.13,102.6,-0.0
26.0458,-1.56,748.3,393.94,102.6,-0.0
26.5842,4.29,692.3,313.74,102.6,-0.0
27.1228,21.62,707.3,293.55,102.6,-0.0
27.6608,1.61,532.64,226.52,102.6,-0.0
28.199,34.16,649.09,112.48,102.6,-0.0
28.7373,-54.65,832.9,79.27,102.6,-0.0
29.2757,18.51,364.11,63.88,102.6,-0.0
18.403,8.72,941.63,2396.48,12.7,-50.2
18.8885,22.71,881.25,1496.07,12.7,-50.2
19.4269,24.05,760.37,1153.37,12.7,-50.2
19.9652,8.15,885.34,898.7,12.7,-50.2
20.5035,23.82,845.29,1098.17,12.7,-50.2
21.0419,10.66,780.65,1125.97,12.7,-50.2
21.5802,-1.83,752.34,1158.33,12.7,-50.2
22.1186,-11.46,750.43,1001.52,12.7,-50.2
22.6571,-35.51,747.13,1085.8,12.7,-50.2
23.1955,-32.79,727.57,917.74,12.7,-50.2
23.734,-18.24,660.76,643.2,12.7,-50.2
24.2723,-11.18,743.95,787.79,12.7,-50.2
24.8107,-2.54,732.5,837.34,12.7,-50.2
25.3494,-5.77,683.94,578.3,12.7,-50.2
25.8876,-27.73,660.1,395.85,12.7,-50.2
26.4259,11.77,636.75,329.61,12.7,-50.2
26.9643,24.27,753.47,416.2,12.7,-50.2
27.5026,23.02,693.36,305.83,12.7,-50.2
28.0408,7.43,661.29,204.98,12.7,-50.2
28.579,-23.01,503.9,111.34,12.7,-50.2
29.1174,-11.72,536.28,73.79,12.7,-50.2
29.6557,26.4,704.66,339.4,12.7,-50.2
18.4557,49.38,840.81,1261.62,102.6,50.2
18.9943,39.66,853.72,865.22,102.6,50.2
19.5326,58.9,795.0,801.73,102.6,50.2
20.0709,72.74,814.13,658.35,102.6,50.2
20.6093,65.05,805.05,700.09,102.6,50.2
21.1476,78.72,787.48,733.04,102.6,50.2
21.686,83.64,756.91,1062.28,102.6,50.2
22.2243,78.2,807.79,1008.73,102.6,50.2
22.7628,65.87,787.59,905.63,102.6,50.2
23.3012,76.24,678.63,863.31,102.6,50.2
23.8397,73.87,750.41,733.7,102.6,50.2
24.378,65.2,750.88,592.34,102.6,50.2
24.9165,66.29,707.67,525.07,102.6,50.2
25.4549,54.59,707.8,450.83,102.6,50.2
25.9933,38.66,743.55,467.16,102.6,50.2
26.5317,25.18,745.14,325.17,102.6,50.2
