18.3	  -14.43     2.98      39.36     1.29     -32.97     1.32     942.35     8.44    1746.43     6.36     630.00     2189
18.9	  -11.61     7.48      57.99     0.36     -55.31     2.50     837.10     7.42     861.40     2.59     630.00     1938
19.4	  -31.70     4.71      44.08     0.07     -52.54     3.64     830.70     6.19        nan      nan     630.00     1938
20.0	   -5.64    15.04     107.82    12.18     -78.71     5.86     726.40     4.77     586.65     1.40     630.00     1938
20.5	   11.09    26.03     115.99    19.83     -64.48     4.93     782.43     9.96     678.83     3.23     630.00     1938
21.0	  -89.18    28.49      15.12    16.63     -56.92     9.82     784.86    14.26     742.47     5.17     630.00     1938
21.6	   96.80    23.62     223.58     8.14      -5.53     5.36     760.04    15.52     855.47     6.54     630.00     1938
22.1	  -27.37    20.22     104.85     7.20      -6.26     1.33     748.17    13.82     964.85     6.46     630.00     1938
22.6	  -25.12    11.36      99.38     1.89      25.19     0.05     733.19     9.51     994.87     4.57     630.00     1938
23.2	  -19.88     9.26      96.48     4.19      31.30     5.05     710.66     8.60     917.73     3.77     630.00     1939
23.7	    7.29     5.51     118.04    22.29     -12.51     2.76     691.94    14.67     634.92     4.63     630.00     1938
24.3	  -84.69    12.29     -88.30    62.27     -24.52     1.47     729.22    18.97     638.94     5.99     630.00     1938
24.8	  -11.69     2.08      57.20    43.34     -16.13     1.64     702.05    20.70     603.89     6.31     630.00     1938
25.3	   21.88    18.93     121.00    17.23      -9.95     6.82     697.44    27.57     468.62     6.57     630.00     1938
25.9	   11.00     7.50      65.56    21.39     -15.80     4.22     710.51    21.05     410.95     4.29     630.00     1939
26.4	   -3.33    20.91      -0.45    15.61      -6.99    11.85     673.88    29.82     339.16     5.19     630.00     1937
27.0	   34.11    30.80      42.01     8.87     -33.98     1.84     693.16    36.75     331.92     6.30     630.00     1939
27.5	   10.51    31.65      41.95     9.45      -2.67     0.05     645.68    44.11     226.91     5.34     630.00     1937
28.0	   24.14    40.95      44.37    17.90      -7.13     5.51     564.81    50.70     123.84     3.51     630.00     1938
28.6	  -87.05    42.88      10.93    85.55      46.26    45.29     478.16    83.47      68.25     3.42     630.00     1938
29.1	  -17.68    21.86     -12.61   119.29      26.80    24.23     533.98    68.87      88.06     3.65     630.00     1938
29.6	 -556.27   288.46     259.43   160.04    -650.26   348.41     651.96    29.91     686.89    13.62     630.00      620
